scope,fold,method,descriptor_fingerprint,size,query_source,gallery_source,slice,query_variant,query_id,metric,value,rank,candidate_id,distance
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,family_unavailable,clean,1529,recall_at_10,,3,2142,0.15492576
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,family_unavailable,clean,1529,recall_at_10,,4,2160,0.15718597
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,family_unavailable,clean,1529,recall_at_10,,5,2400,0.16196638
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,weak_family,clean,1623,recall_at_10,0.00000000,1,10001,0.23094088
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,weak_family,clean,1623,recall_at_10,0.00000000,2,4687,0.23389399
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,weak_family,clean,1623,recall_at_10,0.00000000,3,37529,0.25486952
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,weak_family,clean,1623,recall_at_10,0.00000000,4,4678,0.25761724
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,weak_family,clean,1623,recall_at_10,0.00000000,5,11260,0.26209813
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,canvas_failure,wide,14598,ndcg_change_from_clean,-1.00000000,1,18449,0.39064741
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,canvas_failure,wide,14598,ndcg_change_from_clean,-1.00000000,2,49023,0.39158034
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,canvas_failure,wide,14598,ndcg_change_from_clean,-1.00000000,3,48990,0.40138632
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,canvas_failure,wide,14598,ndcg_change_from_clean,-1.00000000,4,48976,0.40666002
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,canvas_failure,wide,14598,ndcg_change_from_clean,-1.00000000,5,48994,0.41347212
