id,source_partition,path,brightness_mean,contrast_std,laplacian_variance,foreground_fraction,foreground_box_fraction,background_fraction
2400,train,data/raw/teacher/train/images_train/2400.jpg,0.63149852,0.39100018,0.07036281,0.51750000,0.76375000,0.48250000
2492,train,data/raw/teacher/train/images_train/2492.jpg,0.87264997,0.20424023,0.04398248,0.53270833,0.74750000,0.46729167
2509,train,data/raw/teacher/train/images_train/2509.jpg,0.89247173,0.24172516,0.06312194,0.21812500,0.34375000,0.78187500
2562,train,data/raw/teacher/train/images_train/2562.jpg,0.73755729,0.36181962,0.03515239,0.39645833,0.54541667,0.60354167
2606,train,data/raw/teacher/train/images_train/2606.jpg,0.58750874,0.42214426,0.05587839,0.53020833,0.73125000,0.46979167
2626,train,data/raw/teacher/train/images_train/2626.jpg,0.89698386,0.22179295,0.03506927,0.18458333,0.43125000,0.81541667
2651,train,data/raw/teacher/train/images_train/2651.jpg,0.89599985,0.18397006,0.09331530,0.38291667,0.56541667,0.61708333
2674,train,data/raw/teacher/train/images_train/2674.jpg,0.60019195,0.40977234,0.07528345,0.52416667,0.72833333,0.47583333
2697,train,data/raw/teacher/train/images_train/2697.jpg,0.91074735,0.11070742,0.01121910,0.43729167,0.64625000,0.56270833
2719,train,data/raw/teacher/train/images_train/2719.jpg,0.71068662,0.31821546,0.02772968,0.47312500,0.64041667,0.52687500
2745,train,data/raw/teacher/train/images_train/2745.jpg,0.69728142,0.36936405,0.09398256,0.44187500,0.63333333,0.55812500
2781,train,data/raw/teacher/train/images_train/2781.jpg,0.72170717,0.31676173,0.05960122,0.47000000,0.69666667,0.53000000
2822,train,data/raw/teacher/train/images_train/2822.jpg,0.84139293,0.29724690,0.03474312,0.23770833,0.40375000,0.76229167
2840,train,data/raw/teacher/train/images_train/2840.jpg,0.87024289,0.22938886,0.04961112,0.30000000,0.59354167,0.70000000
2856,train,data/raw/teacher/train/images_train/2856.jpg,0.75623745,0.29762825,0.05773429,0.45520833,0.63333333,0.54479167
2874,train,data/raw/teacher/train/images_train/2874.jpg,0.85875428,0.30557099,0.04217973,0.18875000,0.38437500,0.81125000
2901,train,data/raw/teacher/train/images_train/2901.jpg,0.87056893,0.29005796,0.04339148,0.18229167,0.36229167,0.81770833
2938,train,data/raw/teacher/train/images_train/2938.jpg,0.85671723,0.25122151,0.04747111,0.44458333,0.57750000,0.55541667
2971,train,data/raw/teacher/train/images_train/2971.jpg,0.62015015,0.41771698,0.07972179,0.48208333,0.71250000,0.51791667
3011,train,data/raw/teacher/train/images_train/3011.jpg,0.86977357,0.24583842,0.04047036,0.26395833,0.63375000,0.73604167
3044,train,data/raw/teacher/train/images_train/3044.jpg,0.86394244,0.21112506,0.04332605,0.53270833,0.87750000,0.46729167
3073,train,data/raw/teacher/train/images_train/3073.jpg,0.73944801,0.35232553,0.04679616,0.42437500,0.56145833,0.57562500
3101,train,data/raw/teacher/train/images_train/3101.jpg,0.72937441,0.36128667,0.07368150,0.43166667,0.63375000,0.56833333
3129,train,data/raw/teacher/train/images_train/3129.jpg,0.75936007,0.28532317,0.06891622,0.49250000,0.95458333,0.50750000
3163,train,data/raw/teacher/train/images_train/3163.jpg,0.94807047,0.14257100,0.03550995,0.18250000,0.33541667,0.81750000
3198,train,data/raw/teacher/train/images_train/3198.jpg,0.86514646,0.24456605,0.05102442,0.50166667,0.82875000,0.49833333
3215,train,data/raw/teacher/train/images_train/3215.jpg,0.95843697,0.09297732,0.01160313,0.22750000,0.39000000,0.77250000
3238,train,data/raw/teacher/train/images_train/3238.jpg,0.84987497,0.30728018,0.02997408,0.20770833,0.31875000,0.79229167
3254,train,data/raw/teacher/train/images_train/3254.jpg,0.96671700,0.09576812,0.01356459,0.15375000,0.32583333,0.84625000
3277,train,data/raw/teacher/train/images_train/3277.jpg,0.86340576,0.20609123,0.04898665,0.39041667,0.63375000,0.60958333
3295,train,data/raw/teacher/train/images_train/3295.jpg,0.94189858,0.14941837,0.03876261,0.20562500,0.34000000,0.79437500
3313,train,data/raw/teacher/train/images_train/3313.jpg,0.82439768,0.25173399,0.03663825,0.34854167,0.62937500,0.65145833
3340,train,data/raw/teacher/train/images_train/3340.jpg,0.93221617,0.17950326,0.01714691,0.13708333,0.16333333,0.86291667
3358,train,data/raw/teacher/train/images_train/3358.jpg,0.87681520,0.22886196,0.03157074,0.29416667,0.85583333,0.70583333
3386,train,data/raw/teacher/train/images_train/3386.jpg,0.84498280,0.26920941,0.03613009,0.26145833,0.54625000,0.73854167
3414,train,data/raw/teacher/train/images_train/3414.jpg,0.70934474,0.34991229,0.07259993,0.46812500,0.75395833,0.53187500
3433,train,data/raw/teacher/train/images_train/3433.jpg,0.67909724,0.34318474,0.09950396,0.54541667,0.95458333,0.45458333
3455,train,data/raw/teacher/train/images_train/3455.jpg,0.92496532,0.17081073,0.03755304,0.20979167,0.39000000,0.79020833
3479,train,data/raw/teacher/train/images_train/3479.jpg,0.69635355,0.33214387,0.05392189,0.51104167,0.83416667,0.48895833
3503,train,data/raw/teacher/train/images_train/3503.jpg,0.83771420,0.31787962,0.03312542,0.21666667,0.38250000,0.78333333
3525,train,data/raw/teacher/train/images_train/3525.jpg,0.63753492,0.29996556,0.05952355,0.49583333,0.81666667,0.50416667
3539,train,data/raw/teacher/train/images_train/3539.jpg,0.70523000,0.33252534,0.08235684,0.51562500,0.83937500,0.48437500
3558,train,data/raw/teacher/train/images_train/3558.jpg,0.84676898,0.27965155,0.01741722,0.24541667,0.35750000,0.75458333
3581,train,data/raw/teacher/train/images_train/3581.jpg,0.80655414,0.33193767,0.04022145,0.26604167,0.48750000,0.73395833
3602,train,data/raw/teacher/train/images_train/3602.jpg,0.67989820,0.38084698,0.04771342,0.44270833,0.60125000,0.55729167
3624,train,data/raw/teacher/train/images_train/3624.jpg,0.82388866,0.31583753,0.04343011,0.26208333,0.41437500,0.73791667
3645,train,data/raw/teacher/train/images_train/3645.jpg,0.87743062,0.27632433,0.06573015,0.21125000,0.43750000,0.78875000
3661,train,data/raw/teacher/train/images_train/3661.jpg,0.94091266,0.16181576,0.04944906,0.19333333,0.36833333,0.80666667
3677,train,data/raw/teacher/train/images_train/3677.jpg,0.69248515,0.24189922,0.02475811,0.35250000,0.60229167,0.64750000
3694,train,data/raw/teacher/train/images_train/3694.jpg,0.78478187,0.11550080,0.02803691,0.29062500,0.51062500,0.70937500
3711,train,data/raw/teacher/train/images_train/3711.jpg,0.74354106,0.32239833,0.03067869,0.42104167,0.61750000,0.57895833
3730,train,data/raw/teacher/train/images_train/3730.jpg,0.79614532,0.09090308,0.01330705,0.33770833,0.56541667,0.66229167
3749,train,data/raw/teacher/train/images_train/3749.jpg,0.72222495,0.31809276,0.07812054,0.49250000,0.89375000,0.50750000
3767,train,data/raw/teacher/train/images_train/3767.jpg,0.77444613,0.27176768,0.08749175,0.47791667,0.71500000,0.52208333
3787,train,data/raw/teacher/train/images_train/3787.jpg,0.72423089,0.32948947,0.05942705,0.45645833,0.67479167,0.54354167
3812,train,data/raw/teacher/train/images_train/3812.jpg,0.83165848,0.31438953,0.04423421,0.26041667,0.46875000,0.73958333
3828,train,data/raw/teacher/train/images_train/3828.jpg,0.88721728,0.26323396,0.02586017,0.16395833,0.27500000,0.83604167
3851,train,data/raw/teacher/train/images_train/3851.jpg,0.93110430,0.14102906,0.01136295,0.19958333,0.35000000,0.80041667
3869,train,data/raw/teacher/train/images_train/3869.jpg,0.82969499,0.27243561,0.05278205,0.41645833,0.65833333,0.58354167
3889,train,data/raw/teacher/train/images_train/3889.jpg,0.73451310,0.32060352,0.06580069,0.44791667,0.64187500,0.55208333
3910,train,data/raw/teacher/train/images_train/3910.jpg,0.83165193,0.26227018,0.02834561,0.30562500,0.40625000,0.69437500
3928,train,data/raw/teacher/train/images_train/3928.jpg,0.87336749,0.23331863,0.06219024,0.35291667,0.52000000,0.64708333
3942,train,data/raw/teacher/train/images_train/3942.jpg,0.58171916,0.27881670,0.04249573,0.55208333,0.95458333,0.44791667
3956,train,data/raw/teacher/train/images_train/3956.jpg,0.83442324,0.27675521,0.05450438,0.40666667,0.65833333,0.59333333
3978,train,data/raw/teacher/train/images_train/3978.jpg,0.73477560,0.31001824,0.06653546,0.48125000,0.70770833,0.51875000
4000,train,data/raw/teacher/train/images_train/4000.jpg,0.87137878,0.26660737,0.03625398,0.21062500,0.32937500,0.78937500
4016,train,data/raw/teacher/train/images_train/4016.jpg,0.89614046,0.24833143,0.06698713,0.20562500,0.37500000,0.79437500
4037,train,data/raw/teacher/train/images_train/4037.jpg,0.96188802,0.08384870,0.01751782,0.17854167,0.53083333,0.82145833
4054,train,data/raw/teacher/train/images_train/4054.jpg,0.73027223,0.34886560,0.08459378,0.45375000,0.61750000,0.54625000
4070,train,data/raw/teacher/train/images_train/4070.jpg,0.79234952,0.08893952,0.00875058,0.32583333,0.61250000,0.67416667
4089,train,data/raw/teacher/train/images_train/4089.jpg,0.90702248,0.16888191,0.02633392,0.28687500,0.64166667,0.71312500
4105,train,data/raw/teacher/train/images_train/4105.jpg,0.81028938,0.32336181,0.03262602,0.27062500,0.48958333,0.72937500
4133,train,data/raw/teacher/train/images_train/4133.jpg,0.90656900,0.21413454,0.07060915,0.24187500,0.44416667,0.75812500
4155,train,data/raw/teacher/train/images_train/4155.jpg,0.84984016,0.27230507,0.04084839,0.28479167,0.44416667,0.71520833
4173,train,data/raw/teacher/train/images_train/4173.jpg,0.85272354,0.27544615,0.05610434,0.25041667,0.38541667,0.74958333
4197,train,data/raw/teacher/train/images_train/4197.jpg,0.86405110,0.22453512,0.03519196,0.41625000,0.61750000,0.58375000
4214,train,data/raw/teacher/train/images_train/4214.jpg,0.95792562,0.09131605,0.01130853,0.20791667,0.32666667,0.79208333
4232,train,data/raw/teacher/train/images_train/4232.jpg,0.86597526,0.20017260,0.03635773,0.48729167,0.79625000,0.51270833
4250,train,data/raw/teacher/train/images_train/4250.jpg,0.88179135,0.16086285,0.02969113,0.48854167,0.73125000,0.51145833
4270,train,data/raw/teacher/train/images_train/4270.jpg,0.81318951,0.32811496,0.02235737,0.25645833,0.38541667,0.74354167
4298,train,data/raw/teacher/train/images_train/4298.jpg,0.79864591,0.24544935,0.03618507,0.47729167,0.78000000,0.52270833
4320,train,data/raw/teacher/train/images_train/4320.jpg,0.96937788,0.06611606,0.00474952,0.20729167,0.33312500,0.79270833
4344,train,data/raw/teacher/train/images_train/4344.jpg,0.87922311,0.24464536,0.07409458,0.27458333,0.46583333,0.72541667
4366,train,data/raw/teacher/train/images_train/4366.jpg,0.70047379,0.35120091,0.07334582,0.50458333,0.71500000,0.49541667
4389,train,data/raw/teacher/train/images_train/4389.jpg,0.71987784,0.34712714,0.07291629,0.46000000,0.68250000,0.54000000
4407,train,data/raw/teacher/train/images_train/4407.jpg,0.72429770,0.33430576,0.06571073,0.45875000,0.71500000,0.54125000
4429,train,data/raw/teacher/train/images_train/4429.jpg,0.81744695,0.25297248,0.06807547,0.41500000,0.69875000,0.58500000
4450,train,data/raw/teacher/train/images_train/4450.jpg,0.88794595,0.26257318,0.01740025,0.16166667,0.21250000,0.83833333
4474,train,data/raw/teacher/train/images_train/4474.jpg,0.81191814,0.31643766,0.05737680,0.29541667,0.46750000,0.70458333
4491,train,data/raw/teacher/train/images_train/4491.jpg,0.95917886,0.12050173,0.02386041,0.16104167,0.36229167,0.83895833
4510,train,data/raw/teacher/train/images_train/4510.jpg,0.96013975,0.10223586,0.01423548,0.16395833,0.32812500,0.83604167
4527,train,data/raw/teacher/train/images_train/4527.jpg,0.84033334,0.28949460,0.02728811,0.25229167,0.40625000,0.74770833
4546,train,data/raw/teacher/train/images_train/4546.jpg,0.84083283,0.28693503,0.02438130,0.24875000,0.37500000,0.75125000
4564,train,data/raw/teacher/train/images_train/4564.jpg,0.91290444,0.19746348,0.03536301,0.25708333,0.41437500,0.74291667
4588,train,data/raw/teacher/train/images_train/4588.jpg,0.75678831,0.32216281,0.02295820,0.38937500,0.48125000,0.61062500
4610,train,data/raw/teacher/train/images_train/4610.jpg,0.79452997,0.26713496,0.04113130,0.45937500,0.56000000,0.54062500
4630,train,data/raw/teacher/train/images_train/4630.jpg,0.89954203,0.23908316,0.03164572,0.16708333,0.26041667,0.83291667
4653,train,data/raw/teacher/train/images_train/4653.jpg,0.81556278,0.29321969,0.04386581,0.30791667,0.48958333,0.69208333
4674,train,data/raw/teacher/train/images_train/4674.jpg,0.87664640,0.26012060,0.04377412,0.23541667,0.31333333,0.76458333
4693,train,data/raw/teacher/train/images_train/4693.jpg,0.77956688,0.31557792,0.05543957,0.35875000,0.51333333,0.64125000
4714,train,data/raw/teacher/train/images_train/4714.jpg,0.71549022,0.33879626,0.10964584,0.45645833,0.65333333,0.54354167
4733,train,data/raw/teacher/train/images_train/4733.jpg,0.84245545,0.30440223,0.01948102,0.22125000,0.34375000,0.77875000
4750,train,data/raw/teacher/train/images_train/4750.jpg,0.84166706,0.19341809,0.05811076,0.46604167,0.65000000,0.53395833
4764,train,data/raw/teacher/train/images_train/4764.jpg,0.86585855,0.23075280,0.03959919,0.37312500,0.69125000,0.62687500
4779,train,data/raw/teacher/train/images_train/4779.jpg,0.90661234,0.18678589,0.02811696,0.27416667,0.86625000,0.72583333
4793,train,data/raw/teacher/train/images_train/4793.jpg,0.82724035,0.22690661,0.03635317,0.48000000,0.92166667,0.52000000
4819,train,data/raw/teacher/train/images_train/4819.jpg,0.80527407,0.32055107,0.03919497,0.30729167,0.58583333,0.69270833
4841,train,data/raw/teacher/train/images_train/4841.jpg,0.86816120,0.24468476,0.05663039,0.28875000,0.76375000,0.71125000
4858,train,data/raw/teacher/train/images_train/4858.jpg,0.92986351,0.16485554,0.05263248,0.19395833,0.55812500,0.80604167
4879,train,data/raw/teacher/train/images_train/4879.jpg,0.97875184,0.09716843,0.01151531,0.05500000,0.17083333,0.94500000
4901,train,data/raw/teacher/train/images_train/4901.jpg,0.95011759,0.12168058,0.01162338,0.16666667,0.26000000,0.83333333
4919,train,data/raw/teacher/train/images_train/4919.jpg,0.90076363,0.21670426,0.02701677,0.18583333,0.29250000,0.81416667
4934,train,data/raw/teacher/train/images_train/4934.jpg,0.94926757,0.12089654,0.02150245,0.16416667,0.22166667,0.83583333
4949,train,data/raw/teacher/train/images_train/4949.jpg,0.91430879,0.22240652,0.02074289,0.14041667,0.16000000,0.85958333
4966,train,data/raw/teacher/train/images_train/4966.jpg,0.71926785,0.20579611,0.02032000,0.34916667,0.49333333,0.65083333
4983,train,data/raw/teacher/train/images_train/4983.jpg,0.77752948,0.10271578,0.05562033,0.33604167,0.52000000,0.66395833
4997,train,data/raw/teacher/train/images_train/4997.jpg,0.81363893,0.33343053,0.02977590,0.25125000,0.38541667,0.74875000
5020,train,data/raw/teacher/train/images_train/5020.jpg,0.86440492,0.29468518,0.02816318,0.17833333,0.29250000,0.82166667
5067,train,data/raw/teacher/train/images_train/5067.jpg,0.67550689,0.35869762,0.05770086,0.50187500,0.70666667,0.49812500
5084,train,data/raw/teacher/train/images_train/5084.jpg,0.71453470,0.32783526,0.05336554,0.52083333,0.82875000,0.47916667
5111,train,data/raw/teacher/train/images_train/5111.jpg,0.77206284,0.28570136,0.04213408,0.44770833,0.75708333,0.55229167
5135,train,data/raw/teacher/train/images_train/5135.jpg,0.86266196,0.22545660,0.04064412,0.37312500,0.53625000,0.62687500
5151,train,data/raw/teacher/train/images_train/5151.jpg,0.87926048,0.23978083,0.03934858,0.26104167,0.49375000,0.73895833
5169,train,data/raw/teacher/train/images_train/5169.jpg,0.75029939,0.18709952,0.03949399,0.50645833,0.78333333,0.49354167
5189,train,data/raw/teacher/train/images_train/5189.jpg,0.75143832,0.32216173,0.08749906,0.45562500,0.85020833,0.54437500
5214,train,data/raw/teacher/train/images_train/5214.jpg,0.84051067,0.28018406,0.05054454,0.29979167,0.49000000,0.70020833
5232,train,data/raw/teacher/train/images_train/5232.jpg,0.72526217,0.31908786,0.05315279,0.46083333,0.72187500,0.53916667
5264,train,data/raw/teacher/train/images_train/5264.jpg,0.83253908,0.29122034,0.07760748,0.26979167,0.39000000,0.73020833
5285,train,data/raw/teacher/train/images_train/5285.jpg,0.82453501,0.22488613,0.03406529,0.44791667,0.68250000,0.55208333
5315,train,data/raw/teacher/train/images_train/5315.jpg,0.87710887,0.23062558,0.04224935,0.26250000,0.43562500,0.73750000
5348,train,data/raw/teacher/train/images_train/5348.jpg,0.65612066,0.28313777,0.02665492,0.40979167,0.64041667,0.59020833
5362,train,data/raw/teacher/train/images_train/5362.jpg,0.76377749,0.30698347,0.01973218,0.29708333,0.47937500,0.70291667
5377,train,data/raw/teacher/train/images_train/5377.jpg,0.71565288,0.22861826,0.04064624,0.38854167,0.64041667,0.61145833
5395,train,data/raw/teacher/train/images_train/5395.jpg,0.74476850,0.14793923,0.02167512,0.38437500,0.67500000,0.61562500
5412,train,data/raw/teacher/train/images_train/5412.jpg,0.93457258,0.15354392,0.01303157,0.17270833,0.23833333,0.82729167
5431,train,data/raw/teacher/train/images_train/5431.jpg,0.95469493,0.10659114,0.01982961,0.17916667,0.26916667,0.82083333
5446,train,data/raw/teacher/train/images_train/5446.jpg,0.83844674,0.20602790,0.01791921,0.40291667,0.45937500,0.59708333
5469,train,data/raw/teacher/train/images_train/5469.jpg,0.83458519,0.31053525,0.02945662,0.25333333,0.40625000,0.74666667
5490,train,data/raw/teacher/train/images_train/5490.jpg,0.89227498,0.17660005,0.03113275,0.46333333,0.74750000,0.53666667
5506,train,data/raw/teacher/train/images_train/5506.jpg,0.90135550,0.12185980,0.01607918,0.44583333,0.68000000,0.55416667
5537,train,data/raw/teacher/train/images_train/5537.jpg,0.83235556,0.30264613,0.03451758,0.25270833,0.42250000,0.74729167
5566,train,data/raw/teacher/train/images_train/5566.jpg,0.75573713,0.36810508,0.03646524,0.31958333,0.45833333,0.68041667
5584,train,data/raw/teacher/train/images_train/5584.jpg,0.81687450,0.33216971,0.04797021,0.27500000,0.43333333,0.72500000
5606,train,data/raw/teacher/train/images_train/5606.jpg,0.83690357,0.30158755,0.04893103,0.25604167,0.41666667,0.74395833
5625,train,data/raw/teacher/train/images_train/5625.jpg,0.92167950,0.18597695,0.03690939,0.17416667,0.28125000,0.82583333
5665,train,data/raw/teacher/train/images_train/5665.jpg,0.94164532,0.17293079,0.01261357,0.10645833,0.18375000,0.89354167
5688,train,data/raw/teacher/train/images_train/5688.jpg,0.71489245,0.18753099,0.01191295,0.36687500,0.61625000,0.63312500
5710,train,data/raw/teacher/train/images_train/5710.jpg,0.95130605,0.13057375,0.02348389,0.20145833,0.37500000,0.79854167
5731,train,data/raw/teacher/train/images_train/5731.jpg,0.89702070,0.19308618,0.03496085,0.25479167,0.37500000,0.74520833
5759,train,data/raw/teacher/train/images_train/5759.jpg,0.73833698,0.35485944,0.04818117,0.40062500,0.59250000,0.59937500
5781,train,data/raw/teacher/train/images_train/5781.jpg,0.93352765,0.17892243,0.01899769,0.13229167,0.21000000,0.86770833
5800,train,data/raw/teacher/train/images_train/5800.jpg,0.79159200,0.29120517,0.05804304,0.42750000,0.69875000,0.57250000
5816,train,data/raw/teacher/train/images_train/5816.jpg,0.90697706,0.16746862,0.03543769,0.29208333,0.64166667,0.70791667
5834,train,data/raw/teacher/train/images_train/5834.jpg,0.85552126,0.22702031,0.07647585,0.35583333,0.75708333,0.64416667
5851,train,data/raw/teacher/train/images_train/5851.jpg,0.82704639,0.30118370,0.06155731,0.28020833,0.54541667,0.71979167
5870,train,data/raw/teacher/train/images_train/5870.jpg,0.94267619,0.14119819,0.05313445,0.16479167,0.34000000,0.83520833
5892,train,data/raw/teacher/train/images_train/5892.jpg,0.92513013,0.16014718,0.02156123,0.25583333,0.55250000,0.74416667
5912,train,data/raw/teacher/train/images_train/5912.jpg,0.93285573,0.17578436,0.04620471,0.18625000,0.30625000,0.81375000
5931,train,data/raw/teacher/train/images_train/5931.jpg,0.94575727,0.14073414,0.03818622,0.21229167,0.40083333,0.78770833
5947,train,data/raw/teacher/train/images_train/5947.jpg,0.79769659,0.25540432,0.10663714,0.45916667,0.69875000,0.54083333
5969,train,data/raw/teacher/train/images_train/5969.jpg,0.75394148,0.28419757,0.05833434,0.47729167,0.67479167,0.52270833
5988,train,data/raw/teacher/train/images_train/5988.jpg,0.75176692,0.29196379,0.05373270,0.47229167,0.69125000,0.52770833
6006,train,data/raw/teacher/train/images_train/6006.jpg,0.79626191,0.27324459,0.05237658,0.46479167,0.70770833,0.53520833
6032,train,data/raw/teacher/train/images_train/6032.jpg,0.81673455,0.25862953,0.05311625,0.40041667,0.56875000,0.59958333
6055,train,data/raw/teacher/train/images_train/6055.jpg,0.67750704,0.18071374,0.02972766,0.49166667,0.70770833,0.50833333
6079,train,data/raw/teacher/train/images_train/6079.jpg,0.85903716,0.20055844,0.03468655,0.46645833,0.68250000,0.53354167
6099,train,data/raw/teacher/train/images_train/6099.jpg,0.79642344,0.26077309,0.05465896,0.45916667,0.66625000,0.54083333
6115,train,data/raw/teacher/train/images_train/6115.jpg,0.78477925,0.24837667,0.03933147,0.48020833,0.69875000,0.51979167
6134,train,data/raw/teacher/train/images_train/6134.jpg,0.84222108,0.29577300,0.03408619,0.23500000,0.34375000,0.76500000
6154,train,data/raw/teacher/train/images_train/6154.jpg,0.91195691,0.23896320,0.03272276,0.13395833,0.21000000,0.86604167
6173,train,data/raw/teacher/train/images_train/6173.jpg,0.93932283,0.15644675,0.04403813,0.16666667,0.30333333,0.83333333
6200,train,data/raw/teacher/train/images_train/6200.jpg,0.86486977,0.20152445,0.05903582,0.37583333,0.68250000,0.62416667
6220,train,data/raw/teacher/train/images_train/6220.jpg,0.82625461,0.19725366,0.03061314,0.48562500,0.68250000,0.51437500
6241,train,data/raw/teacher/train/images_train/6241.jpg,0.87789583,0.21197616,0.05083904,0.32104167,0.68250000,0.67895833
6259,train,data/raw/teacher/train/images_train/6259.jpg,0.87239361,0.21783550,0.06166193,0.32583333,0.53625000,0.67416667
6293,train,data/raw/teacher/train/images_train/6293.jpg,0.66323680,0.19831780,0.02980689,0.49833333,0.80000000,0.50166667
6315,train,data/raw/teacher/train/images_train/6315.jpg,0.87736899,0.27879742,0.04358593,0.17500000,0.30333333,0.82500000
6339,train,data/raw/teacher/train/images_train/6339.jpg,0.78009826,0.13330932,0.05145468,0.35479167,0.62937500,0.64520833
6360,train,data/raw/teacher/train/images_train/6360.jpg,0.92140311,0.19927551,0.03316915,0.17000000,0.34041667,0.83000000
6385,train,data/raw/teacher/train/images_train/6385.jpg,0.83171111,0.31391031,0.04405072,0.23708333,0.41166667,0.76291667
6405,train,data/raw/teacher/train/images_train/6405.jpg,0.86747122,0.26278231,0.05043559,0.22833333,0.42500000,0.77166667
6423,train,data/raw/teacher/train/images_train/6423.jpg,0.88787639,0.25792411,0.02786692,0.17500000,0.28166667,0.82500000
6442,train,data/raw/teacher/train/images_train/6442.jpg,0.91777748,0.20280285,0.02821549,0.15666667,0.27083333,0.84333333
6458,train,data/raw/teacher/train/images_train/6458.jpg,0.89920920,0.21626255,0.05374425,0.20937500,0.44791667,0.79062500
6480,train,data/raw/teacher/train/images_train/6480.jpg,0.73576373,0.32075888,0.04539743,0.45770833,0.71500000,0.54229167
6501,train,data/raw/teacher/train/images_train/6501.jpg,0.76065540,0.21345328,0.05605809,0.49166667,0.74062500,0.50833333
6521,train,data/raw/teacher/train/images_train/6521.jpg,0.69902855,0.37132192,0.03472956,0.40625000,0.72000000,0.59375000
