method,fold,size,query_source,gallery_source,protocol,scope,query_id,articleType,ndcg_at_5,precision_any_at_5,precision_strict_at_5,tie_rate_at_5,ndcg_at_10,precision_any_at_10,precision_strict_at_10,tie_rate_at_10,ndcg_at_20,precision_any_at_20,precision_strict_at_20,tie_rate_at_20,recall_at_10,hit_rate_at_10,precision_at_10
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2384,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2400,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2488,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2490,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2493,,,,,,,,,0.20000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2548,,,,,,,,,0.20000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2550,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2576,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2590,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2591,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2604,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2613,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2616,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2627,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2641,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2651,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2655,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2659,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2662,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2664,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2666,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2667,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2674,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2676,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2685,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2693,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2704,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2711,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2714,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2722,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2724,,,,,,,,,0.50000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2732,,,,,,,,,0.50000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2741,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2744,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2757,,,,,,,,,0.20000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2784,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2800,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2831,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2834,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2836,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2842,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2847,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2848,,,,,,,,,0.20000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2858,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2861,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2886,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2916,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2921,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2931,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2934,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2940,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2947,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2973,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2996,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3013,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3042,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3048,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3049,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3057,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3065,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3071,,,,,,,,,0.20000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3078,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3084,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3096,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3110,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3124,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3130,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3131,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3142,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3152,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3159,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3162,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3165,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3170,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3178,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3192,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3198,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3202,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3203,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3205,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3219,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3225,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3237,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3242,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3243,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3246,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3249,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3250,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3261,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3262,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3264,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3269,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3288,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3302,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3322,,,,,,,,,0.40000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3323,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3329,,,,,,,,,0.40000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3336,,,,,,,,,0.20000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3339,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3349,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3356,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3365,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3366,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3381,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3384,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3385,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3389,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3417,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3442,,,,,,,,,0.20000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3459,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3468,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3473,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3474,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3476,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3493,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3500,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3501,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3504,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3515,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3520,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3528,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3530,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3536,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3537,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3538,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3545,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3550,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3553,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3561,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3570,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,3574,,,,,,,,,0.00000000,,,,,,,
