id,articleType,product_family_group,mode
3420,Tshirts,family_7c6cb0b8e3dce468,RGB
3423,Tshirts,family_7312fa1be2ea65d6,RGB
3432,Tshirts,family_a898a8776c1b93c5,RGB
3448,Tshirts,family_115c08a62490bff3,RGB
3450,Caps,family_62f73707683b924b,RGB
3458,Sports Shoes,family_ee43ec7cc83b9a0f,RGB
3460,Sports Shoes,family_c89b4e41f654eea7,RGB
3464,Swimwear,family_0d3fa6dd8f23a9a7,RGB
3472,Water Bottle,family_8b75ec30ea0d0fed,RGB
3478,Tshirts,family_d88e4a72af6b2d5e,RGB
3481,Track Pants,family_298b60b7114e61bb,RGB
3496,Sports Shoes,family_80ae95e050f70cdd,RGB
3497,Casual Shoes,family_27335c6f0f67cb71,RGB
3498,Casual Shoes,family_2cde073b39dd6bb1,RGB
3506,Casual Shoes,family_02ec6cded188e77c,RGB
3518,Tshirts,family_184097a88a9b4ad9,RGB
3544,Tshirts,family_65bba5fb79d7da91,RGB
3547,Casual Shoes,family_2a6a41cdfcbe78c1,RGB
3563,Casual Shoes,family_725300467c1440e5,RGB
3564,Casual Shoes,family_739dbef65f3b1e41,RGB
3571,Tshirts,family_2f619d680b998bca,RGB
3576,Flats,family_e3680aff4c3e0fd6,RGB
3580,Casual Shoes,family_15bb14fd69723b98,RGB
3583,Sandals,family_d4cd013f21bbf4b5,RGB
3589,Casual Shoes,family_eed67fb12c02e975,RGB
3590,Casual Shoes,family_a6ca0feab05195ca,RGB
3592,Casual Shoes,family_939d830ab95583e5,RGB
3604,Casual Shoes,family_df6443e4bc9ed495,RGB
3608,Casual Shoes,family_86e83855c103c5ad,RGB
3617,Tshirts,family_2e27bb07e506e982,RGB
3632,Flip Flops,family_37df889efd442031,RGB
3633,Sandals,family_00039a15178b1192,RGB
3635,Sports Shoes,family_ec04d0809913c908,RGB
3636,Flip Flops,family_3cb25825a619415e,RGB
3638,Casual Shoes,family_026916bfa9ab8dbe,RGB
3649,Casual Shoes,family_dc4aa707636ec734,RGB
3651,Sports Shoes,family_0ab77c56eece2d24,RGB
3688,Sports Shoes,family_670b08a8750893e8,RGB
3699,Tshirts,family_44db4e7dd7d67537,RGB
3702,Tshirts,family_998c225a0b7bc4a5,RGB
3708,Tshirts,family_aaf68675c4bea560,RGB
3710,Belts,family_ec995be98212e07c,RGB
3714,Tshirts,family_5aec607067fc57ea,RGB
3717,Tshirts,family_7119d5d9637ddeeb,RGB
3720,Belts,family_3644cb1007be9e1b,RGB
3729,Tshirts,family_0ebd1723f1447c10,RGB
3736,Caps,family_0c9e88b28d11dc49,RGB
3744,Tshirts,family_a08c5cfffde5bb7d,RGB
3755,Tshirts,family_0c38972c44d62331,RGB
3764,Tshirts,family_ca7aa52051ff3da0,RGB
3768,Tshirts,family_71c4994de8c7229a,RGB
3773,Tshirts,family_3ca74779bdf0f0ba,RGB
3779,Tshirts,family_5b382a8191264f07,RGB
3782,Tshirts,family_408a880c854efce7,RGB
3783,Tshirts,family_e59adbcd3a4cbeaf,RGB
3791,Tshirts,family_6219b932485fb627,RGB
3795,Casual Shoes,family_91969e505d012cfe,RGB
3796,Tshirts,family_ae1f31e1ba28b07b,RGB
3805,Sandals,family_a5b06020eb2ea3af,RGB
3807,Tshirts,family_fe0bae021682b307,RGB
3823,Sandals,family_08ff39839627d6e1,RGB
3832,Sandals,family_ca4812488ca6357f,RGB
3833,Sandals,family_93495fae156b6769,RGB
3839,Flats,family_0460e16ca6b4917a,RGB
3849,Tshirts,family_2e3ed35f801fbf17,RGB
3874,Tshirts,family_5cd53812071ab9bb,RGB
3883,Tshirts,family_2a783f5db09827a7,RGB
3885,Tshirts,family_8f1d857513c617aa,RGB
3886,Tshirts,family_5bba8f46cdedf6b4,RGB
3891,Tshirts,family_f71cbfce4cd7b267,RGB
3895,Tshirts,family_5fa0d20413793e73,RGB
3896,Skirts,family_55f5054a626756a7,RGB
3898,Tshirts,family_7f80e6caa06901e1,RGB
3909,Capris,family_5c2e13bb6c475cb7,RGB
3912,Capris,family_8664f0d168799ba7,RGB
3918,Track Pants,family_df139c403530c463,RGB
3927,Tshirts,family_cd24330a96de3b78,RGB
3953,Tshirts,family_6a6a93367e7d0023,RGB
3958,Tops,family_015287fce017a7b8,RGB
3961,Tshirts,family_cfbe919472e0e3f4,RGB
3969,Tops,family_023735e650550f29,RGB
3971,Tops,family_2a890496afdbf577,RGB
3973,Tops,family_979d26d3a739d909,RGB
3982,Tshirts,family_ed042e51f6834de1,RGB
3983,Tshirts,family_c7e92bac8729cf4c,RGB
3992,Tshirts,family_94c8e9960b7d3483,RGB
4002,Flip Flops,family_c2b6e1f87f1fb289,RGB
4003,Flip Flops,family_43871a4ea259ce40,RGB
4011,Basketballs,family_0f179fbfd346fdd6,RGB
4017,Casual Shoes,family_3e8085d7a382a645,RGB
4022,Casual Shoes,family_b5e7b0e5f7d09430,RGB
4035,Tshirts,family_cc557d460799c276,RGB
4038,Tshirts,family_df4aa3c96e0fe9b0,RGB
4048,Sports Shoes,family_cbfb88946b86a506,RGB
4061,Tshirts,family_02eb0fab1eaae6e0,RGB
4062,Tshirts,family_7e7ef09ddc7fee2f,RGB
4082,Tshirts,family_3533044dca88ad65,RGB
4085,Tshirts,family_3052c83f1a40e0c4,RGB
4086,Tshirts,family_7dfca4be5858c0a1,RGB
4106,Sandals,family_d8bbf6c1176f8226,RGB
4110,Sandals,family_5765dac074bd446d,RGB
4113,Casual Shoes,family_71b3af35d9d53d24,RGB
4114,Sandals,family_abd285e8b11e18ca,RGB
4120,Casual Shoes,family_1fdc5156dff53e1e,RGB
4121,Casual Shoes,family_aa35818bff67437a,RGB
4130,Casual Shoes,family_8296f1f76b7d679c,RGB
4138,Casual Shoes,family_1f61c05e5a94a199,RGB
4160,Tshirts,family_23e2c21019bd2264,RGB
4189,Tshirts,family_ec8b19be39eb32ee,RGB
4196,Tshirts,family_b7d7b92afabba562,RGB
4203,Tshirts,family_136f80ae472891a1,RGB
4207,Tshirts,family_7ac35f30c3aa2997,RGB
4213,Tshirts,family_7deb66de6038a305,RGB
4215,Tshirts,family_bb666ba5b78a13ad,RGB
4224,Tshirts,family_a24cc8ec4a0372f4,RGB
4227,Tshirts,family_52144ce705561eb2,RGB
4228,Tshirts,family_931d2d3886093132,RGB
4233,Tshirts,family_ea4284b8fb98fd27,RGB
4237,Tshirts,family_b45b7246ed2a1e21,RGB
4240,Tshirts,family_15811bd57b46d002,RGB
4241,Tshirts,family_60cafa03272449d4,RGB
4248,Tshirts,family_28b51b9809bf2925,RGB
4253,Tshirts,family_bfe9c3c5714f2f37,RGB
4259,Tshirts,family_485419d81203cab1,RGB
4261,Tshirts,family_2a0a5f36a397d7ef,RGB
4262,Tshirts,family_cf7dee3443a85994,RGB
4276,Casual Shoes,family_0252656a94fd2e92,RGB
4278,Sandals,family_a138ab3bd14d1133,RGB
4293,Tshirts,family_f12e915e8907cebc,RGB
4297,Tshirts,family_1ae2f3fe573bcfcb,RGB
4304,Tshirts,family_eb1633fa9519afd7,RGB
4313,Tshirts,family_3c4dcf6dfc899bd6,RGB
4314,Tshirts,family_6a2383b4296f4b0c,RGB
4317,Tshirts,family_49a57aab5a13e055,RGB
4331,Tshirts,family_68bf6c87ebcd6379,RGB
4336,Sports Shoes,family_9544361c04facd3e,RGB
4337,Sports Shoes,family_2657482116a56061,RGB
4339,Sports Shoes,family_3320051c00a95198,RGB
4351,Tshirts,family_7bd3edcdad6b99d3,RGB
4352,Tshirts,family_8af1f2584822ac9f,RGB
4353,Tshirts,family_f8feb05f30d18136,RGB
4367,Tshirts,family_5c4b6df5ed4fdd47,RGB
4370,Tshirts,family_c70e8a8dbc45421e,RGB
4373,Tshirts,family_f9ca4044fc874991,RGB
4378,Tshirts,family_e6785e32be8b07b0,RGB
4380,Tshirts,family_a6ba1d32e2731f8c,RGB
4381,Tshirts,family_48e019050cd54d27,RGB
4398,Tshirts,family_2545a02d836fe850,RGB
4406,Tshirts,family_b09e885265e03ddb,RGB
4409,Tshirts,family_f0f7f5098c176727,RGB
4412,Tshirts,family_d73398cebe5ea860,RGB
4419,Tshirts,family_1fc2789c839ba5e3,RGB
4421,Tshirts,family_dcda112812f66db6,RGB
4438,Casual Shoes,family_bb76b704fd0dcf8c,RGB
4441,Casual Shoes,family_6346fc1b001a16dd,RGB
4444,Casual Shoes,family_79f06f8fde333461,RGB
4451,Caps,family_6f543685273d0e18,RGB
4453,Caps,family_ed9d0fce1e4dc986,RGB
4455,Casual Shoes,family_dec1ab2f6d6e994c,RGB
4466,Sports Shoes,family_d9f0773a5c224b31,RGB
4468,Casual Shoes,family_dc99a69a88c91874,RGB
4469,Sports Shoes,family_1fc0d3390fc0c995,RGB
4471,Sports Shoes,family_067ea1716caf605b,RGB
4475,Sports Shoes,family_1b95c8a0dad14118,RGB
4482,Sports Shoes,family_5c499d7156509194,RGB
4494,Sports Shoes,family_a9a286a75a193e6b,RGB
4504,Sports Shoes,family_6659c30f0631de14,RGB
4507,Sports Shoes,family_a27d23ba80488a93,RGB
4509,Casual Shoes,family_55c5de31ec754ba4,RGB
4516,Sports Shoes,family_961290276708eea7,RGB
4521,Sports Shoes,family_b1ded99722cf8de8,RGB
4524,Sports Shoes,family_aa6db2224b6d7f39,RGB
4528,Sports Shoes,family_dd996502691de578,RGB
4536,Sports Shoes,family_822a965f61c45f7a,RGB
4544,Sports Shoes,family_dcdc295abab24089,RGB
4558,Sports Shoes,family_86d1d4f9c4c19f02,RGB
4567,Flip Flops,family_db2e7f1bd5ab9968,RGB
4573,Sports Shoes,family_f3a6399711da0b03,RGB
4576,Sports Shoes,family_cb366b057a5d9e92,RGB
4580,Sports Shoes,family_0cfc62b7b1a3090b,RGB
4584,Backpacks,family_7be0a5c2bf93d5fc,RGB
4585,Backpacks,family_fecf38f73a231710,RGB
4590,Backpacks,family_7be0a5c2bf93d5fc,RGB
4600,Duffel Bag,family_404c93bdee16f75b,RGB
4604,Handbags,family_3761d931eeba3187,RGB
4621,Tops,family_c0d32e8f4dc23289,RGB
4634,Sports Shoes,family_704d7ecf2545962e,RGB
4637,Sports Shoes,family_c50281c3dd92d836,RGB
4638,Sports Shoes,family_311d090632d9033f,RGB
4641,Sports Shoes,family_b99427238b182d60,RGB
4655,Sports Shoes,family_4014e91c398f3fe2,RGB
4658,Flats,family_209b256456750273,RGB
4662,Sports Shoes,family_d7238b16367eafcd,RGB
4670,Backpacks,family_2036f83ce71f2369,RGB
4677,Backpacks,family_8cdf4bda27113937,RGB
4683,Backpacks,family_56771e02f31517e5,RGB
4695,Watches,family_8b29757eee971946,RGB
4699,Watches,family_56f4652c9b6e2f8d,RGB
4702,Watches,family_bbe814c133ff5912,RGB
4703,Watches,family_d95c59c87f64adc6,RGB
4712,Watches,family_4f0e70f993083de9,RGB
4717,Tshirts,family_7deb66de6038a305,RGB
4719,Tshirts,family_bb666ba5b78a13ad,RGB
4720,Tshirts,family_29d504c9de3a9308,RGB
4727,Tshirts,family_136f80ae472891a1,RGB
4732,Flip Flops,family_c1f713b071419980,RGB
4746,Tshirts,family_2293091e01f7ea66,RGB
4757,Tshirts,family_ea7fe8b72eff2ae0,RGB
4769,Tshirts,family_f596dc40b19f77ee,RGB
4780,Tshirts,family_259748e36ea45836,RGB
4797,Shorts,family_b43ec56948fb3f0e,RGB
4798,Tshirts,family_bcaf29cf76c15716,RGB
4799,Tshirts,family_c59a181ee3c055ae,RGB
4800,Tshirts,family_dea1ae8613ee2a5e,RGB
4803,Tshirts,family_9c80d3de185ee862,RGB
4804,Tshirts,family_dcbff8f66de95d7c,RGB
4829,Track Pants,family_298b60b7114e61bb,RGB
4854,Casual Shoes,family_c0438e3c5c6df484,RGB
4864,Tshirts,family_3446a7e3222db2ab,RGB
4867,Tshirts,family_af93a06c80895edf,RGB
4880,Tshirts,family_c2e90aa4d71ec118,RGB
4888,Tops,family_0dc2f3515bee8486,RGB
4889,Tops,family_0dc2f3515bee8486,RGB
4897,Tops,family_eda7ca2e850cca25,RGB
4906,Capris,family_69ec7b2a6b6f1b1e,RGB
4915,Tops,family_f2eca72c8cdf2c93,RGB
4916,Tops,family_f2eca72c8cdf2c93,RGB
4942,Tshirts,family_2bdfe17b9632fe94,RGB
4954,Tshirts,family_935dad48e67dd398,RGB
4965,Tshirts,family_bdc1cc5988510c33,RGB
4967,Tshirts,family_6c408218675cba72,RGB
4968,Tshirts,family_6c408218675cba72,RGB
5004,Skirts,family_6078ab6da8612a51,RGB
5005,Skirts,family_79830ce5b6d9c51e,RGB
5008,Dresses,family_8fe5f40fd0363af8,RGB
5037,Casual Shoes,family_78c549f9e428652c,RGB
5043,Casual Shoes,family_ea65024247a2ed0e,RGB
5079,Watches,family_2db936ff47d93ce7,RGB
5081,Watches,family_2db936ff47d93ce7,RGB
5101,Tshirts,family_36a4f11f8ddfc296,RGB
5104,Sandals,family_99b057c8e3461b97,RGB
5116,Tshirts,family_4694198984395866,RGB
5119,Tshirts,family_77c53fd8faa9cd5a,RGB
5131,Shirts,family_a79a343aec580495,RGB
5133,Tops,family_609902f4bc8cf2fe,RGB
5134,Tshirts,family_beb81e71a33a62f3,RGB
5138,Tshirts,family_2ab3fcb8329ca8b9,RGB
5170,Tshirts,family_8df93a86bb739d44,RGB
5171,Tops,family_8c2fa65f4b955999,RGB
5199,Tshirts,family_aced70051e58a884,RGB
5210,Tshirts,family_9f8917ad86101b4a,RGB
5218,Backpacks,family_7be0a5c2bf93d5fc,RGB
5227,Duffel Bag,family_b40e32d5df10d617,RGB
5238,Flip Flops,family_f34eb9d345d7d40d,RGB
5240,Sports Shoes,family_953abe48dfdfa8e2,RGB
5242,Sports Shoes,family_d717567680363ab0,RGB
5252,Backpacks,family_d3e1af605cc84c4b,RGB
5253,Duffel Bag,family_e9c649d518df1e38,RGB
5261,Backpacks,family_b2b7178dc27bc498,RGB
5288,Sandals,family_61f5643dedd8af70,RGB
5290,Formal Shoes,family_32768dc1b008847f,RGB
5301,Backpacks,family_9401e925f19506af,RGB
5316,Formal Shoes,family_29725b74b899713d,RGB
5317,Formal Shoes,family_197fadbf47ebfda1,RGB
5320,Casual Shoes,family_a06465366cbea9b3,RGB
5324,Casual Shoes,family_02560826d24f6500,RGB
5327,Casual Shoes,family_4495c083aa62a152,RGB
5332,Casual Shoes,family_3957deaf962b0b30,RGB
5336,Sports Shoes,family_51283fa355970ea4,RGB
5352,Sports Shoes,family_044c06ac12dc9063,RGB
5394,Sports Shoes,family_e09a7c96d31f51dc,RGB
5410,Flip Flops,family_5f7384f80b19355c,RGB
5411,Sports Shoes,family_5f7384f80b19355c,RGB
5436,Tshirts,family_e6ac4ef9f6171a64,RGB
5447,Shirts,family_a17c19d4f322a201,RGB
5449,Tshirts,family_e9c15acddd2bbb31,RGB
5454,Shorts,family_5ad0e75a5119ff6d,RGB
5466,Sports Shoes,family_a3eac2342f596faa,RGB
5467,Sports Shoes,family_6339497c1ac50c3a,RGB
5482,Sports Shoes,family_02c0b7bcc4d2aa75,RGB
5485,Sports Shoes,family_7e7d333c0af0cac7,RGB
5501,Tshirts,family_3565801e1ec38673,RGB
5502,Tshirts,family_536b9ac36d9adc0b,RGB
5515,Tshirts,family_eacc30a21d89f388,RGB
5516,Tshirts,family_714802f31c8f1c00,RGB
5544,Tshirts,family_6334610e2b0395f3,RGB
5558,Tshirts,family_940a01e99ef8b507,RGB
5575,Skirts,family_69c53542ac9ee1fc,RGB
5581,Skirts,family_fd65ddd3504ba0be,RGB
5600,Sports Shoes,family_e3be6803d0ccd399,RGB
5627,Flip Flops,family_1ba3c39b667caa93,RGB
5638,Flip Flops,family_eb51f8315cf769b3,RGB
5660,Tshirts,family_a5081fc73076c5a4,RGB
5667,Tshirts,family_4908e317936220be,RGB
5668,Tshirts,family_365f191de6d26eb9,RGB
5669,Tshirts,family_2cf01c072dae9a3a,RGB
5676,Casual Shoes,family_01c129ed7519d254,RGB
5680,Casual Shoes,family_40c4fad484744b31,RGB
5683,Casual Shoes,family_1dde21d9dfbe48a3,RGB
5690,Casual Shoes,family_f258849b08ca24e8,RGB
5692,Casual Shoes,family_480ec4228ea35503,RGB
5704,Casual Shoes,family_744cb589264c9630,RGB
5709,Flip Flops,family_7b50cd2d97ecd8db,RGB
5717,Tshirts,family_d61432d15ffa422a,RGB
5742,Tshirts,family_5454ca6f5b234073,RGB
5743,Tshirts,family_8a8b6089b6da2f1e,RGB
5746,Tshirts,family_c4ea8ed019962cda,RGB
5751,Tshirts,family_9902a59687527714,RGB
5754,Sports Shoes,family_16608390f96063e7,RGB
5757,Tops,family_2560766fc02b427a,RGB
5763,Tops,family_98440c50f0d98ea5,RGB
5764,Tops,family_3c06bc19eae1dddc,RGB
5768,Jeans,family_ee65fbaffa5773d9,RGB
5771,Jeans,family_6b296ae2c02ffd2e,RGB
5775,Tops,family_8f380b167de147ed,RGB
5790,Tshirts,family_957004db88d2a72e,RGB
5806,Tshirts,family_addcb3d9599cca85,RGB
