first_id,second_id,reason
Amazon Berkeley Objects:B071RN7KNH,Amazon Berkeley Objects:B071YPBH4C,pixel_sha256
Amazon Berkeley Objects:B071RN7KNH,Amazon Berkeley Objects:B0896X61TP,pixel_sha256
Amazon Berkeley Objects:B071RN7KNH,Amazon Berkeley Objects:B071YPBH4C,view_pixel_sha256
Amazon Berkeley Objects:B071RN7KNH,Amazon Berkeley Objects:B0896X61TP,view_pixel_sha256
Amazon Berkeley Objects:B071RN7KNH,Amazon Berkeley Objects:B071YPBH4C,crop_pixel_sha256
Amazon Berkeley Objects:B071RN7KNH,Amazon Berkeley Objects:B0896X61TP,crop_pixel_sha256
Amazon Berkeley Objects:B076QFBFRG,Amazon Berkeley Objects:B076QJLCFY,source_group
Amazon Berkeley Objects:B076QFBFRG,Amazon Berkeley Objects:B076Q8MTX8,source_group
Amazon Berkeley Objects:B076QFBFRG,Amazon Berkeley Objects:B076QBF11M,source_group
Amazon Berkeley Objects:B076QFBFRG,Amazon Berkeley Objects:B076QBFYKL,source_group
Amazon Berkeley Objects:B076QFBFRG,Amazon Berkeley Objects:B076QJLCFT,source_group
Amazon Berkeley Objects:B076QFBFRG,Amazon Berkeley Objects:B076QJTKPX,source_group
Amazon Berkeley Objects:B078T95WPP,Amazon Berkeley Objects:B078TB372J,source_group
Amazon Berkeley Objects:B078T95WPP,Amazon Berkeley Objects:B078TB6WWP,source_group
Amazon Berkeley Objects:B078T95WPP,Amazon Berkeley Objects:B078TC331S,source_group
Amazon Berkeley Objects:B07NBWPP5W,Amazon Berkeley Objects:B011J4BPWC,source_group
Amazon Berkeley Objects:B07NBWPP5W,Amazon Berkeley Objects:B011J4BPWC,image_url
Amazon Berkeley Objects:B07NBWPP5W,Amazon Berkeley Objects:B011J4BPWC,file_sha256
Amazon Berkeley Objects:B07NBWPP5W,Amazon Berkeley Objects:B011J4BPWC,pixel_sha256
Amazon Berkeley Objects:B07NBWPP5W,Amazon Berkeley Objects:B011J4BPWC,view_pixel_sha256
Amazon Berkeley Objects:B07NBWPP5W,Amazon Berkeley Objects:B011J4BPWC,crop_pixel_sha256
Amazon Berkeley Objects:B01GGNW2WI,Amazon Berkeley Objects:B01GGNW67O,source_group
Amazon Berkeley Objects:B01J24H2K0,Amazon Berkeley Objects:B01MR890RQ,source_group
Amazon Berkeley Objects:B01J24H2K0,Amazon Berkeley Objects:B07CBY8383,source_group
Amazon Berkeley Objects:B01J24H2K0,Amazon Berkeley Objects:B07QPB2R62,source_group
Amazon Berkeley Objects:B079L8DHGH,Amazon Berkeley Objects:B079L91D2J,source_group
Amazon Berkeley Objects:B079L8DHGH,Amazon Berkeley Objects:B079LG18LS,source_group
Amazon Berkeley Objects:B079L8DHGH,Amazon Berkeley Objects:B079LMFJSY,source_group
Amazon Berkeley Objects:B079L8DHGH,Amazon Berkeley Objects:B079LMMK7F,source_group
Amazon Berkeley Objects:B079L8DHGH,Amazon Berkeley Objects:B079LMXV35,source_group
Amazon Berkeley Objects:B079L8JS1G,Amazon Berkeley Objects:B079L96VWL,source_group
Amazon Berkeley Objects:B079L8JS1G,Amazon Berkeley Objects:B079LCH6FX,source_group
Amazon Berkeley Objects:B079L8JS1G,Amazon Berkeley Objects:B079LCL9NG,source_group
Amazon Berkeley Objects:B079L8JS1G,Amazon Berkeley Objects:B079LCQVMF,source_group
Amazon Berkeley Objects:B079L8JS1G,Amazon Berkeley Objects:B079LG17Y2,source_group
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JL29Y7W,source_group
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JLX4W8L,source_group
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JLX4YT9,source_group
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JM9J7MM,source_group
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JM9JJC9,source_group
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JL29Y7W,image_url
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JLX4W8L,image_url
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JLX4YT9,image_url
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JM9J7MM,image_url
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JM9JJC9,image_url
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JL29Y7W,file_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JLX4W8L,file_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JLX4YT9,file_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JM9J7MM,file_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JM9JJC9,file_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JL29Y7W,pixel_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JLX4W8L,pixel_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JLX4YT9,pixel_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JM9J7MM,pixel_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JM9JJC9,pixel_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JL29Y7W,view_pixel_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JLX4W8L,view_pixel_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JLX4YT9,view_pixel_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JM9J7MM,view_pixel_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JM9JJC9,view_pixel_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JL29Y7W,crop_pixel_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JLX4W8L,crop_pixel_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JLX4YT9,crop_pixel_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JM9J7MM,crop_pixel_sha256
Amazon Berkeley Objects:B07JL2997W,Amazon Berkeley Objects:B07JM9JJC9,crop_pixel_sha256
Amazon Berkeley Objects:B01AIVT5M4,Amazon Berkeley Objects:B01AIVT6NM,source_group
flipkart_party:BRAEBG4DCHJMRYZZ,flipkart_party:BRAEBGGVYKJZAZYV,conservative_final_view_hash_group
