product_id,source_id,row_index,root_category,name,occasions,image_urls,sampling_stratum
WATDA5ZANJ7UZ74Q,bb7950eb09f95d18d4d5011c333998a2,8566,Watches,Sonata 7086SL04 Tech 1 Analog Watch  - For Men,[],"[""http://img5a.flixcart.com/image/watch/7/4/q/7086sl04-sonata-original-imada5uvbsh6yfnb.jpeg"", ""http://img6a.flixcart.com/image/watch/7/4/q/7086sl04-sonata-original-imada5uvbsh6yfnb.jpeg""]",root:Watches
WATE3FAXGFHMASYX,a62b34aa0564cbf03b0132773eab9354,88,Watches,"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys","[""Casual""]","[""http://img6a.flixcart.com/image/watch/s/y/x/co6394a1-cobra-paris-original-imae3ewvtzeazghm.jpeg"", ""http://img5a.flixcart.com/image/watch/s/y/x/co6394a1-cobra-paris-original-imae3ewvtzeazghm.jpeg"", ""http://img5a.flixcart.com/image/watch/s/y/x/co6394a1-cobra-paris-original-imae3ewvt4z8bcbk.jpeg"", ""http://img6a.flixcart.com/image/watch/s/y/x/co6394a1-cobra-paris-original-imae3ewvzrtmahug.jpeg"", ""http://img6a.flixcart.com/image/watch/s/y/x/co6394a1-cobra-paris-original-imae3ewvcvwzbvwy.jpeg"", ""http://img6a.flixcart.com/image/watch/s/y/x/co6394a1-cobra-paris-original-imae3ewvffwaphvy.jpeg""]",root:Watches
SUSEE6Y3NMPS9GRR,3cc5b6d260602e04ddd2bb92fbfb1ea2,15924,"Bags, Wallets & Belts",MODISHERA Y- Back Suspenders for Men,[],"[""http://img6a.flixcart.com/image/suspender/g/r/r/psus-104-modishera-1100x1100-imaedw2hafrzhyaq.jpeg"", ""http://img5a.flixcart.com/image/suspender/g/r/r/psus-104-modishera-original-imaedw2hafrzhyaq.jpeg"", ""http://img6a.flixcart.com/image/suspender/g/r/r/psus-104-modishera-original-imaedw2mdhpzvyjf.jpeg""]","root:Bags, Wallets & Belts"
SUSEGT8HHGKRPNJF,c27fb58ecad1d392fc1c460b0c50960a,10408,"Bags, Wallets & Belts","Urban Diseno Y- Back Suspenders for Men, Women",[],"[""http://img6a.flixcart.com/image/suspender/n/j/f/navy-lb-urban-diseno-original-imaegt8a9hc9nkf3.jpeg"", ""http://img5a.flixcart.com/image/suspender/n/j/f/navy-lb-urban-diseno-original-imaegt8a9hc9nkf3.jpeg""]","root:Bags, Wallets & Belts"
HMBED6EXAEDXARSB,e7221dd7475397dfade38615452f3049,18806,"Bags, Wallets & Belts",Shagun Trends Pouch Potli,"[""Evening/Party, Festive""]","[""http://img6a.flixcart.com/image/hand-messenger-bag/r/s/b/shagun-cl0027-shagun-trends-pouch-potli-hand-work-1000x1000-imaed58gssghmrpq.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/r/s/b/shagun-cl0027-shagun-trends-pouch-potli-hand-work-original-imaed58gssghmrpq.jpeg""]","root:Bags, Wallets & Belts"
SGLEJCHSWBMHVVNG,691c004c53b0d5138618ad7b8eedeb8d,7758,Sunglasses,Aligatorr Aviator Sunglasses,[],"[""http://img6a.flixcart.com/image/sunglass/v/n/g/0251-aligatorr-l-original-imaegywyhvdv5nhr.jpeg"", ""http://img6a.flixcart.com/image/sunglass/v/n/g/0251-aligatorr-l-original-imaegywfzgx8qvyw.jpeg"", ""http://img6a.flixcart.com/image/sunglass/v/n/g/0251-aligatorr-l-original-imaegywfyuhptzhe.jpeg"", ""http://img5a.flixcart.com/image/sunglass/j/w/q/8596-aligatorr-m-original-imaej9dhnavkqqvr.jpeg""]",root:Sunglasses
SGLEJXES7SFDGVU4,8b32833477b99c5136e8ee4a49a92b2e,3265,Sunglasses,Elligator Aviator Sunglasses,[],"[""http://img5a.flixcart.com/image/sunglass/v/u/4/grn-gold-sg-001-elligator-m-original-imaejwacqtewkxeq.jpeg"", ""http://img5a.flixcart.com/image/sunglass/v/u/4/grn-gold-sg-001-elligator-m-original-imaejwachjmbrbjz.jpeg"", ""http://img5a.flixcart.com/image/sunglass/v/u/4/grn-gold-sg-001-elligator-m-original-imaejwactx4hzyuc.jpeg"", ""http://img5a.flixcart.com/image/sunglass/3/x/q/nghtvsn-ylw-elligator-m-original-imaejwacvxz3mkxm.jpeg""]",root:Sunglasses
SGLEJV5ZR7ZRWWYW,6c6e292e91f819f6812975443c69a331,17615,Sunglasses,Redex Cat-eye Sunglasses,[],"[""http://img5a.flixcart.com/image/sunglass/w/y/w/vk1312-redex-l-original-imaejr4qrdvkngef.jpeg"", ""http://img6a.flixcart.com/image/sunglass/w/y/w/vk1312-redex-l-original-imaejr4qrdvkngef.jpeg"", ""http://img5a.flixcart.com/image/sunglass/w/y/w/vk1312-redex-l-original-imaejr4q6q7sz4xk.jpeg"", ""http://img5a.flixcart.com/image/sunglass/s/z/e/vk1292-redex-l-original-imaebjc6zwsbyvrp.jpeg"", ""http://img6a.flixcart.com/image/sunglass/w/y/w/vk1312-redex-l-original-imaejr4r6yqfggnk.jpeg"", ""http://img5a.flixcart.com/image/sunglass/w/y/w/vk1312-redex-l-original-imaejr4rmamuuvqg.jpeg""]",root:Sunglasses
CAGE7DSFQGVEGHC8,67119571e4b46deb266236d8e7fad65d,6868,Beauty and Personal Care,Denver Rage Hamilton Honour Combo Set,[],"[""http://img6a.flixcart.com/image/combo-gift-set/h/c/8/denver-1100x1100-imae7dq2atq52eky.jpeg"", ""http://img5a.flixcart.com/image/combo-gift-set/h/c/8/denver-original-imae7dq2atq52eky.jpeg""]",root:Beauty and Personal Care
CNDEGVE6PR98MZHU,02a53d335775b652f22f41b529b9d646,962,Beauty and Personal Care,Suave Naturals Everlasting Sunshine Conditioner,[],"[""http://img5a.flixcart.com/image/conditioner/z/h/u/suave-665-naturals-everlasting-sunshine-conditioner-1100x1100-imaegzzqngr4bwwg.jpeg"", ""http://img6a.flixcart.com/image/conditioner/z/h/u/suave-665-naturals-everlasting-sunshine-conditioner-original-imaegzzqngr4bwwg.jpeg""]",root:Beauty and Personal Care
CBKEAHJXFFYVFVWM,03e3f6fe3618fbdec1f496863b33c3db,15178,Beauty and Personal Care,Oxyglow Fruit Massage Cream With Vitamin-E & Bhringaraj Regrowth & Revitalising Hair Oil,[],"[""http://img5a.flixcart.com/image/combo-kit/v/w/m/oxc-2815-oxyglow-fruit-massage-cream-with-vitamin-e-bhringaraj-1100x1100-imaeahz7gaczh8kx.jpeg"", ""http://img6a.flixcart.com/image/combo-kit/v/w/m/oxc-2815-oxyglow-fruit-massage-cream-with-vitamin-e-bhringaraj-original-imaeahz7gaczh8kx.jpeg""]",root:Beauty and Personal Care
SMTEHPYZKFAYSE5B,3b2fcc52406bb46cf7a5fc14e6bf250b,10469,Sports & Fitness,Gravolite Plain Yoga Blue 3 mm,[],"[""http://img5a.flixcart.com/image/sport-mat/4/m/b/78-30-7-gravolite-plain-1100x1100-imaede3gu4jqn3fj.jpeg"", ""http://img6a.flixcart.com/image/sport-mat/4/m/b/78-30-7-gravolite-plain-original-imaede3gu4jqn3fj.jpeg"", ""http://img5a.flixcart.com/image/sport-mat/w/z/h/72-36-12-gravolite-plain-original-imaede4qbz9vryzt.jpeg"", ""http://img5a.flixcart.com/image/sport-mat/a/m/q/78-24-7-gravolite-plain-original-imaede3g88fks6ha.jpeg"", ""http://img6a.flixcart.com/image/sport-mat/9/s/y/78-36-12-gravolite-plain-original-imaede4qgkjuffxz.jpeg"", ""http://img6a.flixcart.com/image/sport-mat/4/m/b/78-30-7-gravolite-plain-original-imaede3gzbkgnzhk.jpeg"", ""http://img6a.flixcart.com/image/sport-mat/9/s/y/78-36-12-gravolite-plain-original-imaede4q8hq3bzpq.jpeg"", ""http://img6a.flixcart.com/image/sport-mat/k/d/c/78-28-8-gravolite-plain-original-imaefmyu2juvpzta.jpeg"", ""http://img5a.flixcart.com/image/sport-mat/e/k/z/78-36-7-gravolite-plain-original-imaeh9wbguutbwh3.jpeg""]",root:Sports & Fitness
SPBE4DWQDZWZDC7Q,33efbdbef738ea069db56b422541a122,10595,Sports & Fitness,Quechua Forclaz 22 Air Backpack,[],"[""http://img6a.flixcart.com/image/sport-bag/c/7/q/na-quechua-forclaz-22-air-22-s-original-imae4dk7bfjyy5xx.jpeg"", ""http://img5a.flixcart.com/image/sport-bag/c/7/q/na-quechua-forclaz-22-air-22-s-original-imae4dk7bfjyy5xx.jpeg"", ""http://img6a.flixcart.com/image/sport-bag/c/7/q/na-quechua-forclaz-22-air-22-s-original-imae4dk7ew7myhxm.jpeg""]",root:Sports & Fitness
BALDK98MYRRTHZHJ,23967fccffe7573023880d432be7c897,16302,Sports & Fitness,Spalding NBA Team Toranto Raptors Basketball -   Size: 7,[],"[""http://img5a.flixcart.com/image/ball/z/h/j/spalding-basketball-nba-team-toranto-raptors-original-imadkafghsz4ux2n.jpeg"", ""http://img6a.flixcart.com/image/ball/z/h/j/spalding-basketball-nba-team-toranto-raptors-original-imadkafghsz4ux2n.jpeg"", ""http://img5a.flixcart.com/image/ball/z/h/j/spalding-basketball-nba-team-toranto-raptors-original-imadkafgfbyreggh.jpeg"", ""http://img5a.flixcart.com/image/ball/z/h/j/spalding-basketball-nba-team-toranto-raptors-original-imadkafgp5x5g79q.jpeg""]",root:Sports & Fitness
DREEGZ7RCCF3ECJG,760d5144900edc19fc725005e29ebf46,7902,Clothing,"Toy Balloon Kids Girl's Empire Waist, Fit and Flare, Gathered Dress","[""Beach Wear, Casual, Formal, Lounge Wear, Party""]","[""http://img5a.flixcart.com/image/dress/3/p/g/tbd0078lrx-toy-balloon-kids-3-4-years-original-imaegz4ymx78mnyz.jpeg"", ""http://img6a.flixcart.com/image/dress/3/p/g/tbd0078lrx-toy-balloon-kids-3-4-years-original-imaegz4ymx78mnyz.jpeg"", ""http://img5a.flixcart.com/image/dress/3/p/g/tbd0078lrx-toy-balloon-kids-3-4-years-original-imaegz4yztgqg7rh.jpeg"", ""http://img5a.flixcart.com/image/dress/3/p/g/tbd0078lrx-toy-balloon-kids-3-4-years-original-imaegz4yzzzebrut.jpeg""]","rare_exact_occasion:Beach Wear, Casual, Formal, Lounge Wear, Party"
TFHEDAGBZTUSQ7ZV,35bc4cdbcad9c319d5cc3954e0ae32c9,16654,Clothing,DFH Solid Men's Three Fourths,"[""Beach Wear, Casual, Lounge Wear, Sports""]","[""http://img6a.flixcart.com/image/three-fourth/p/g/f/mc-blue-1-dfh-xl-1000x1000-imaedah4zvgkgzhj.jpeg"", ""http://img6a.flixcart.com/image/three-fourth/p/g/f/mc-blue-1-dfh-xl-original-imaedah4zvgkgzhj.jpeg"", ""http://img6a.flixcart.com/image/three-fourth/p/g/f/mc-blue-1-dfh-s-original-imaedah4gz5bvdna.jpeg"", ""http://img5a.flixcart.com/image/three-fourth/p/g/f/mc-blue-1-dfh-l-original-imaedah4ge7u79hp.jpeg"", ""http://img5a.flixcart.com/image/three-fourth/p/g/f/mc-blue-1-dfh-xxl-original-imaedah43efxkarw.jpeg"", ""http://img5a.flixcart.com/image/three-fourth/p/g/f/mc-blue-1-dfh-m-original-imaedah4wejujhjd.jpeg""]","rare_exact_occasion:Beach Wear, Casual, Lounge Wear, Sports"
CAPEHXTRYTBBN2QK,d6abf5d1b5dd2dd4a625112c2054aa26,302,Clothing,Eccellente Solid Hip Hop Cap,"[""Beach Wear, Casual, Sports""]","[""http://img6a.flixcart.com/image/cap/2/q/k/cap484-eccellente-free-original-imaehwhaduqsetuq.jpeg"", ""http://img6a.flixcart.com/image/cap/2/q/k/cap484-eccellente-free-original-imaehwhark3rvrxu.jpeg"", ""http://img5a.flixcart.com/image/cap/2/q/k/cap484-eccellente-free-original-imaehwhaabwxnzey.jpeg""]","rare_exact_occasion:Beach Wear, Casual, Sports"
BXREJYMSM2HRZYVR,5b124ee6fb232f53ab0ef0b942accc16,18519,Clothing,NEXASHOP Solid Women's Boxer,"[""Beach Wear, Sports""]","[""http://img5a.flixcart.com/image/boxer/y/v/r/nx-01-nexashop-44-1000x1000-imaegz6jk7ahwvfx.jpeg"", ""http://img6a.flixcart.com/image/boxer/y/v/r/nx-01-nexashop-44-original-imaegz6jk7ahwvfx.jpeg"", ""http://img6a.flixcart.com/image/boxer/y/v/r/nx-01-nexashop-44-original-imaegz6tztzyftfs.jpeg""]","rare_exact_occasion:Beach Wear, Sports"
BKPE6PXHGYYWQRKP,7b870488a07b1f3faf2e6377b177cd9c,18211,"Bags, Wallets & Belts",United Bags V cut 2.5 L medium Laptop Backpack,"[""Casual And Formal""]","[""http://img6a.flixcart.com/image/backpack/r/k/p/ubk225-united-laptop-backpack-v-cut-original-imae6q6z9tfm6kum.jpeg"", ""http://img5a.flixcart.com/image/backpack/r/k/p/ubk225-united-laptop-backpack-v-cut-original-imae6q6z9tfm6kum.jpeg"", ""http://img6a.flixcart.com/image/backpack/r/k/p/ubk225-united-laptop-backpack-v-cut-original-imae6pvgjzfnn8wv.jpeg"", ""http://img5a.flixcart.com/image/backpack/r/k/p/ubk225-united-laptop-backpack-v-cut-original-imae6pvgdw7qynrz.jpeg"", ""http://img5a.flixcart.com/image/backpack/r/k/p/ubk225-united-laptop-backpack-v-cut-original-imae6q6zudqfvh23.jpeg""]",rare_exact_occasion:Casual And Formal
RUGEHEM9NKDVTGBC,3a547829ab4f3d13279424023402be36,19064,Clothing,SKIDLERS Women's Shrug,"[""Casual, Beach Wear, Festive, Lounge Wear, Party""]","[""http://img6a.flixcart.com/image/shrug/g/b/c/design-20-image-24-net-all-free-skidlers-free-original-imaehdvuuqty3mgm.jpeg"", ""http://img6a.flixcart.com/image/shrug/g/b/c/design-20-image-24-net-all-free-skidlers-free-original-imaehdvtznvwp9tf.jpeg"", ""http://img6a.flixcart.com/image/shrug/g/b/c/design-20-image-24-net-all-free-skidlers-free-original-imaehdvtvpahhvsd.jpeg"", ""http://img5a.flixcart.com/image/shrug/g/b/c/design-20-image-24-net-all-free-skidlers-free-original-imaehdvuwtdb58pq.jpeg"", ""http://img5a.flixcart.com/image/shrug/g/b/c/design-20-image-24-net-all-free-skidlers-free-original-imaehdvtucs9hqp5.jpeg""]","rare_exact_occasion:Casual, Beach Wear, Festive, Lounge Wear, Party"
BRAEJTH5VRZPMG9J,3181fe33f9a5085d045ecd1a6d37a175,17909,Clothing,SHIMZA by SHIMZA - Women's Bra Women's Full Coverage Bra,"[""Casual, Beach Wear, Lounge Wear, Sports""]","[""http://img5a.flixcart.com/image/bra/g/9/j/shim-00049-36-shimza-36-original-imaegy4myxfhpy5a.jpeg"", ""http://img6a.flixcart.com/image/bra/g/9/j/shim-00049-36-shimza-36-original-imaegy4myxfhpy5a.jpeg"", ""http://img6a.flixcart.com/image/bra/g/9/j/shim-00049-36-shimza-36-original-imaegy4ngakn34y3.jpeg""]","rare_exact_occasion:Casual, Beach Wear, Lounge Wear, Sports"
SNDEE4WVSTFCJFVZ,ddad22e527a4d1839530e424a9b440c2,1845,Footwear,Liza Women Flats,"[""Casual, Ethnic, Party, Wedding""]","[""http://img6a.flixcart.com/image/sandal/g/4/z/red-liza-1472s-liza-38-original-imaee3tw58ny4epm.jpeg"", ""http://img5a.flixcart.com/image/sandal/g/4/z/red-liza-1472s-liza-38-original-imaee3tw58ny4epm.jpeg"", ""http://img5a.flixcart.com/image/sandal/g/4/z/red-liza-1472s-liza-38-original-imaee3twhafx8zdf.jpeg"", ""http://img5a.flixcart.com/image/sandal/g/4/z/red-liza-1472s-liza-38-original-imaee3twjetgszhx.jpeg"", ""http://img6a.flixcart.com/image/sandal/g/4/z/red-liza-1472s-liza-38-original-imaee3twjccwhhdz.jpeg"", ""http://img5a.flixcart.com/image/sandal/g/4/z/red-liza-1472s-liza-38-original-imaee3twrgg95xsd.jpeg""]","rare_exact_occasion:Casual, Ethnic, Party, Wedding"
HMBEJ9G65DQWP2GW,b6f4ad65a527e5a08606e2917da3b5f1,13694,"Bags, Wallets & Belts",SSM Hand-held Bag,"[""Casual, Festive, Evening/Party""]","[""http://img6a.flixcart.com/image/hand-messenger-bag/2/g/w/ssm-11-ssm-hand-held-bag-ssm-11-original-imaej8adgfu94qnu.jpeg"", ""http://img5a.flixcart.com/image/hand-messenger-bag/2/g/w/ssm-11-ssm-hand-held-bag-ssm-11-original-imaej8adgfu94qnu.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/2/g/w/ssm-11-ssm-hand-held-bag-ssm-11-original-imaej8adynf2k3gg.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/2/g/w/ssm-11-ssm-hand-held-bag-ssm-11-original-imaej8adbzauwh5k.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/2/g/w/ssm-11-ssm-hand-held-bag-ssm-11-original-imaej8adzxffnxh8.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/2/g/w/ssm-11-ssm-hand-held-bag-ssm-11-original-imaej8aeshqvhrh4.jpeg""]","rare_exact_occasion:Casual, Festive, Evening/Party"
BRAEHQZBBEX3GATV,9ba9c49fbcf478321f14578f5557ed98,10434,Clothing,Sona FEEDINGBRA Women's Maternity Bra,"[""Casual, Festive, Formal, Lounge Wear, Party, Wedding""]","[""http://img6a.flixcart.com/image/bra/h/g/f/feeding-bra-white-sona-44d-original-imaehmbsr6ubhygc.jpeg"", ""http://img5a.flixcart.com/image/bra/h/g/f/feeding-bra-white-sona-44d-original-imaehmbsr6ubhygc.jpeg"", ""http://img6a.flixcart.com/image/bra/h/g/f/feeding-bra-white-sona-44d-original-imaehmbskkyyx3nh.jpeg""]","rare_exact_occasion:Casual, Festive, Formal, Lounge Wear, Party, Wedding"
LJGEDWX3HT32UDXR,8dbd4ff66b7b23e3e90a2178304a699e,11019,Clothing,Green Moments Women's Leggings,"[""Casual, Festive, Lounge Wear, Wedding""]","[""http://img6a.flixcart.com/image/legging-jegging/m/a/z/c-green-01-green-moments-l-original-imae7ymnvyrcutvr.jpeg"", ""http://img5a.flixcart.com/image/legging-jegging/m/a/z/c-green-01-green-moments-l-original-imae7ymnvyrcutvr.jpeg"", ""http://img6a.flixcart.com/image/legging-jegging/m/a/z/c-green-01-green-moments-l-original-imae7ymna7zreanf.jpeg""]","rare_exact_occasion:Casual, Festive, Lounge Wear, Wedding"
HMBEJAFEXGBXZSQT,02e1436a32dc59efb1f637ac0fd506a5,13687,"Bags, Wallets & Belts",Cottage Hand-held Bag,"[""Casual, Formal, Evening/Party""]","[""http://img6a.flixcart.com/image/hand-messenger-bag/s/q/t/cottage1100-cottage-hand-held-bag-cottage1100-original-imaej3fpk5vuqp9f.jpeg"", ""http://img5a.flixcart.com/image/hand-messenger-bag/s/q/t/cottage1100-cottage-hand-held-bag-cottage1100-original-imaej3fpk5vuqp9f.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/s/q/t/cottage1100-cottage-hand-held-bag-cottage1100-original-imaej3fvzcgn35hr.jpeg"", ""http://img6a.flixcart.com/image/hand-messenger-bag/s/q/t/cottage1100-cottage-hand-held-bag-cottage1100-original-imaej3fwwggffc3b.jpeg""]","rare_exact_occasion:Casual, Formal, Evening/Party"
TOPEBUTMCXPBY7FK,5a6060355d31b0fe25f93440fffc2c8e,9880,Clothing,"Stylestone Casual, Formal, Lounge Wear, Beach Wear, Party Full Sleeve Solid Women's Top","[""Casual, Formal, Lounge Wear, Beach Wear, Party""]","[""http://img6a.flixcart.com/image/top/j/r/d/1-1-3067turqbellfringe-stylestone-m-original-imaebuk2uuckvsub.jpeg"", ""http://img5a.flixcart.com/image/top/j/r/d/1-1-3067turqbellfringe-stylestone-m-original-imaebuk2uuckvsub.jpeg"", ""http://img5a.flixcart.com/image/top/j/r/d/1-1-3067turqbellfringe-stylestone-m-original-imaebuk2fmsxbtjc.jpeg"", ""http://img6a.flixcart.com/image/top/j/r/d/1-1-3067turqbellfringe-stylestone-m-original-imaebuk2fzghns4g.jpeg"", ""http://img6a.flixcart.com/image/top/j/r/d/1-1-3067turqbellfringe-stylestone-m-original-imaebuk2sj4hmshd.jpeg"", ""http://img5a.flixcart.com/image/top/j/r/d/1-1-3067turqbellfringe-stylestone-m-original-imaebuk2tntqfzny.jpeg""]","rare_exact_occasion:Casual, Formal, Lounge Wear, Beach Wear, Party"
SNDEHTGCH7GVZGZF,da300ac16443bd2c46f8228de51a430c,1215,Footwear,"Foot Furnish Girls, Women Wedges","[""Casual, Formal, Party, Sports, Wedding, Ethnic""]","[""http://img5a.flixcart.com/image/sandal/3/n/d/maroon-beige-02-16-ff-w-zaf-004-foot-furnish-41-original-imaehnmvujhhe79c.jpeg"", ""http://img6a.flixcart.com/image/sandal/3/n/d/maroon-beige-02-16-ff-w-zaf-004-foot-furnish-41-original-imaehnmvujhhe79c.jpeg"", ""http://img6a.flixcart.com/image/sandal/3/n/d/maroon-beige-02-16-ff-w-zaf-004-foot-furnish-41-original-imaehnmvdqj3xrx6.jpeg"", ""http://img6a.flixcart.com/image/sandal/3/n/d/maroon-beige-02-16-ff-w-zaf-004-foot-furnish-41-original-imaehnmvhvmnrzsz.jpeg"", ""http://img5a.flixcart.com/image/sandal/3/n/d/maroon-beige-02-16-ff-w-zaf-004-foot-furnish-41-original-imaehnmvnptgtghr.jpeg"", ""http://img6a.flixcart.com/image/sandal/x/g/k/maroon-beige-02-16-ff-w-zaf-004-foot-furnish-40-original-imaehnmvzxkfnjke.jpeg""]","rare_exact_occasion:Casual, Formal, Party, Sports, Wedding, Ethnic"
