articleType,gender,n,fold
Foundation and Primer,Women,9,4
Fragrance Gift Set,Men,20,4
Fragrance Gift Set,Unisex,1,4
Fragrance Gift Set,Women,17,4
Free Gifts,Men,25,4
Free Gifts,Unisex,1,4
Free Gifts,Women,21,4
Gloves,Boys,4,4
Gloves,Girls,6,4
Gloves,Men,4,4
Handbags,Men,4,4
Handbags,Unisex,38,4
Handbags,Women,934,4
Hat,Unisex,2,4
Headband,Unisex,5,4
Heels,Women,707,4
Highlighter and Blush,Women,4,4
Innerwear Vests,Boys,3,4
Innerwear Vests,Girls,4,4
Innerwear Vests,Men,157,4
Innerwear Vests,Women,1,4
Ipad,Women,1,4
Jackets,Boys,2,4
Jackets,Men,124,4
Jackets,Unisex,1,4
Jackets,Women,28,4
Jeans,Boys,19,4
Jeans,Girls,9,4
Jeans,Men,208,4
Jeans,Unisex,3,4
Jeans,Women,138,4
Jeggings,Women,18,4
Jewellery Set,Women,32,4
Jumpsuit,Women,8,4
Kajal and Eyeliner,Women,9,4
Key chain,Unisex,1,4
Kurta Sets,Boys,2,4
Kurta Sets,Women,50,4
Kurtas,Boys,4,4
Kurtas,Men,36,4
Kurtas,Women,1015,4
Kurtis,Men,2,4
Kurtis,Women,136,4
Laptop Bag,Men,13,4
Laptop Bag,Unisex,34,4
Laptop Bag,Women,7,4
Leggings,Boys,3,4
Leggings,Girls,14,4
Leggings,Women,91,4
Lehenga Choli,Girls,1,4
Lip Gloss,Women,4,4
Lip Liner,Women,7,4
Lip Plumper,Women,3,4
Lipstick,Women,6,4
Lounge Pants,Men,22,4
Lounge Pants,Women,14,4
Lounge Shorts,Men,19,4
Lounge Shorts,Women,4,4
Lounge Tshirts,Women,1,4
Messenger Bag,Men,8,4
Messenger Bag,Unisex,22,4
Mobile Pouch,Unisex,6,4
Mobile Pouch,Women,26,4
Mufflers,Men,20,4
Mufflers,Unisex,1,4
Mufflers,Women,6,4
Nail Polish,Women,13,4
Necklace and Chains,Women,42,4
Nehru Jackets,Men,3,4
Night suits,Men,12,4
Night suits,Women,35,4
Nightdress,Women,27,4
Patiala,Women,18,4
Pendant,Women,77,4
Perfume and Body Mist,Men,214,4
Perfume and Body Mist,Unisex,7,4
Perfume and Body Mist,Women,158,4
Rain Jacket,Unisex,1,4
Ring,Men,25,4
Ring,Women,51,4
Robe,Women,2,4
Rompers,Boys,6,4
Rompers,Girls,3,4
Rucksacks,Unisex,8,4
Salwar,Girls,4,4
Salwar,Women,18,4
Salwar and Dupatta,Women,5,4
Sandals,Boys,9,4
Sandals,Girls,30,4
Sandals,Men,478,4
Sandals,Unisex,64,4
Sandals,Women,3,4
Sarees,Women,104,4
Scarves,Men,34,4
Scarves,Unisex,2,4
Scarves,Women,39,4
Shapewear,Women,2,4
Shirts,Boys,53,4
Shirts,Girls,1,4
Shirts,Men,1859,4
Shirts,Women,187,4
Shoe Accessories,Men,2,4
Shoe Accessories,Unisex,14,4
Shoe Laces,Unisex,1,4
Shorts,Boys,37,4
Shorts,Girls,26,4
Shorts,Men,253,4
Shorts,Women,41,4
Shrug,Women,2,4
Skirts,Girls,16,4
Skirts,Women,64,4
Socks,Boys,1,4
Socks,Men,313,4
Socks,Unisex,46,4
Socks,Women,57,4
Sports Sandals,Men,19,4
Sports Sandals,Unisex,3,4
Sports Sandals,Women,21,4
Sports Shoes,Boys,2,4
Sports Shoes,Men,1056,4
Sports Shoes,Unisex,29,4
Sports Shoes,Women,268,4
Stockings,Women,18,4
Stoles,Men,1,4
Stoles,Women,62,4
Sunglasses,Men,382,4
Sunglasses,Unisex,95,4
Sunglasses,Women,223,4
Suspenders,Men,27,4
Sweaters,Men,129,4
Sweaters,Women,59,4
Sweatshirts,Boys,1,4
Sweatshirts,Men,148,4
Sweatshirts,Unisex,1,4
Sweatshirts,Women,40,4
Swimwear,Unisex,2,4
Swimwear,Women,10,4
Tablet Sleeve,Women,1,4
Ties,Men,144,4
Ties and Cufflinks,Women,1,4
Tights,Men,1,4
Tights,Women,5,4
Tops,Girls,154,4
Tops,Women,940,4
Track Pants,Men,144,4
Track Pants,Unisex,1,4
Track Pants,Women,55,4
Tracksuits,Men,19,4
Travel Accessory,Unisex,8,4
Travel Accessory,Women,2,4
Trolley Bag,Unisex,2,4
Trousers,Boys,3,4
Trousers,Men,285,4
Trousers,Women,60,4
Trunk,Men,96,4
Tshirts,Boys,347,4
Tshirts,Girls,71,4
Tshirts,Men,3455,4
Tshirts,Unisex,49,4
Tshirts,Women,679,4
Tunics,Men,1,4
Tunics,Women,118,4
Umbrellas,Women,3,4
Waist Pouch,Men,1,4
Waist Pouch,Unisex,11,4
Waistcoat,Boys,2,4
Waistcoat,Men,4,4
Waistcoat,Women,4,4
Wallets,Men,278,4
Wallets,Unisex,14,4
Wallets,Women,271,4
Watches,Girls,7,4
Watches,Men,892,4
Watches,Unisex,88,4
Watches,Women,546,4
Water Bottle,Men,2,4
Water Bottle,Unisex,6,4
Wristbands,Unisex,4,4
