id,path,sha256,articleType,baseColour,productDisplayName,duplicate_group,product_family_group,partition,cv_fold
1541,data/raw/teacher/train/images_train/1541.jpg,42b230559ad4de575e9f52c1011955a58cbdddeac8173a2790c2de70dfe2e33c,Sports Shoes,White,Puma Men's Ballistic Spike White Green Shoe,single_42b230559ad4,family_477e2d13152129e7,development,0
1542,data/raw/teacher/train/images_train/1542.jpg,d527f5ba47a7ee47be06f94cbb8a0f2fa536171b71f0f8b3c6b11fa77518e5a1,Sports Shoes,White,Puma Men's Ballistic Rubber Shoe,single_d527f5ba47a7,family_596d0c702ba6d208,development,3
1543,data/raw/teacher/train/images_train/1543.jpg,7de665c5cb0bf430128ec8535668a311e940983cb925f5c6a86f711ca4b8ae8a,Casual Shoes,Black,Puma Men Basket-Biz Sneaker,single_7de665c5cb0b,family_50a0a04f2d67b4a2,development,0
1544,data/raw/teacher/train/images_train/1544.jpg,4ce08276aca4c7822a8e24e96a9ce27bf46bf882749fdea686a31cf0efd2e729,Casual Shoes,White,Puma Men's Basket Bump Sneaker,single_4ce08276aca4,family_194af3b3d7b00744,development,2
1545,data/raw/teacher/train/images_train/1545.jpg,96890573963017813dc00d2f613c79eddcf216dcd228d8d915ab3d2b9176e494,Casual Shoes,White,Puma Men's Speed Cat Shoe,single_968905739630,family_8b1fbeee2ea27bf5,development,2
1548,data/raw/teacher/train/images_train/1548.jpg,d08768fc29418710b13cac35c0d2c56aa4b435a36c39db04e6595102a589083f,Sports Shoes,White,Puma Men's Cell Exsis Sneaker,single_d08768fc2941,family_48f31b127dde9f65,development,3
1549,data/raw/teacher/train/images_train/1549.jpg,4ff56ad02f7a1941c655dcd6c29f3acf137c154ca2d7512b78b6da7b790273ed,Sports Shoes,White,Puma Men's Jiyu Slip On Sneaker,single_4ff56ad02f7a,family_75abf1771c0d9038,development,4
1551,data/raw/teacher/train/images_train/1551.jpg,866660e64e527eebb453cef406ad1b178688817749c7194a26669abeec5ef474,Footballs,Orange,Puma Power Cat Trainer-OB Football,single_866660e64e52,family_1e61da9318ad5f39,development,4
1553,data/raw/teacher/train/images_train/1553.jpg,fb8c12e6a62a67f09455de76d5655d332499024469cc62d95436fadc1e85fa9a,Footballs,White,Puma Power Cat Hard Ground Football,single_fb8c12e6a62a,family_8012472a35fd4093,development,0
1554,data/raw/teacher/train/images_train/1554.jpg,2507835b857b101b05daaccc75ca8868dc74eed10d589bc03db9bc8f21a33c48,Water Bottle,Blue,Quechua  Blue Sipper,single_2507835b857b,family_6fb4775fed7293b1,development,2
1555,data/raw/teacher/train/images_train/1555.jpg,cdc96baa58b977be55be87b4161fb20454430c52066a1a6aee0f6d57ea432f69,Water Bottle,Purple,Quechua Red Sipper,single_cdc96baa58b9,family_2ae7ffb0ec4d1bcc,development,3
1556,data/raw/teacher/train/images_train/1556.jpg,a6540678a87eba903fd1ecd1f6aae7d4ef6c91770f2c6f2e611d3f8c7b0eeba0,Backpacks,Black,Quechua Forclaz Large  Backpack - 50 ltr Orange,single_a6540678a87e,family_46b724b2f85d4f7b,development,4
1557,data/raw/teacher/train/images_train/1557.jpg,c2c424af887e493fe2b21cba8e92ca3524f2dd81383316fcc96f20d856f4e5c3,Backpacks,Black,Quechua Spacious Blue-Black Backpack,single_c2c424af887e,family_9e2d999a438d4dc3,development,0
1558,data/raw/teacher/train/images_train/1558.jpg,f8b5e1b211bafaa8f2317f39e22f45ec1379ccebbac361c625accfa72b0eee57,Water Bottle,Blue,Quechua Easy-to-Carry Blue Water Bottle,single_f8b5e1b211ba,family_67a375e4ddcdb509,development,0
1559,data/raw/teacher/train/images_train/1559.jpg,205eac9afd1793a24ee03ac93dbef2bbc7148281df4b7d4c7dc5f4e455bc48c3,Backpacks,Blue,Quechua Blue Light Backpack,single_205eac9afd17,family_1e797595727addd0,development,3
1563,data/raw/teacher/train/images_train/1563.jpg,ad69123c03aadaafd9b66f17115a38bd3c0aea06b3d8bdaa0ddb558468ae2c80,Tshirts,Blue,Quechua Men Sweat Proof Blue T-shirt,single_ad69123c03aa,family_e830a0d7d5f30372,development,2
1565,data/raw/teacher/train/images_train/1565.jpg,6b74fcc8690580a8dd8d6c7b30f0eee4d9a649edee263ad7a250c5533cf71cfb,Backpacks,Green,Quechua Green Light Backpack,single_6b74fcc86905,family_956b130106fbc089,development,3
1566,data/raw/teacher/train/images_train/1566.jpg,4b2b74eb3839940a1662b957b1ed151276fe4ab5c27c2baa98ea8a0a845a3410,Caps,Black,Artengo Men Black Cap,single_4b2b74eb3839,family_a9ffbdf317b2dabf,development,4
1567,data/raw/teacher/train/images_train/1567.jpg,e7fdbae14834ea86c931a9153f7974c38a2025a50d6032692f2f3e3b5cedc058,Shorts,Black,Artengo Men Training Shorts,single_e7fdbae14834,family_0651ee70db05737d,development,2
1569,data/raw/teacher/train/images_train/1569.jpg,cccd7839c128a765c1411ced7ff54d76eb0257dad2d2279d01d771bef38a17db,Shorts,Black,Artengo Men Black Tennis Shorts,single_cccd7839c128,family_c98c37cbc0242b2c,development,0
1570,data/raw/teacher/train/images_train/1570.jpg,fb52eb64fc82857910056477d913fba9fa8511e02353c4e6ffbdf458d9634399,Tshirts,Black,Artengo Women Tennis Singlet,single_fb52eb64fc82,family_3a481e728390d89c,development,4
1571,data/raw/teacher/train/images_train/1571.jpg,276b0c17ddcc4fa7953ec3fda5522d4c54f94a376ce9af95cd082b2d9be50b2f,Sports Shoes,White,Kalenji Men's Super Soft Sports Shoes,single_276b0c17ddcc,family_aded40e220d2587b,development,3
1573,data/raw/teacher/train/images_train/1573.jpg,4b88543d3dc32698a3d8c43fb004144f183d196f064fd6061c85baf7ea818467,Track Pants,Grey,Kalenji Women Athletes Grey Track Pants,single_4b88543d3dc3,family_79e8c13e1a8c51e0,development,2
1577,data/raw/teacher/train/images_train/1577.jpg,d958b2b68a9e92c2ef5c151440fd29cc34b95c226e92e80fb23a7f8f423ca38a,Caps,Green,Inesis  Slim Shady Cap,single_d958b2b68a9e,family_1d16bb3354a11b50,development,2
1578,data/raw/teacher/train/images_train/1578.jpg,38c78a685ddf62c70c4f25fd3701317b223853a3c6276a868ff72fbb08d1be91,Tshirts,Red,Domyos Men Good Stroke Red T-shirt,single_38c78a685ddf,family_c6437e0ba0560952,development,2
1581,data/raw/teacher/train/images_train/1581.jpg,6beb464024a36168714e80e34ddf1fcd3d5177134f2719a06c1e506ee4270550,Caps,Pink,Nabaiji Unisex Silicone Swimming Cap,single_6beb464024a3,family_3ef4ba73834a4409,development,3
1582,data/raw/teacher/train/images_train/1582.jpg,930a683db73f6ec607ac70f61ef502bd39983735645fe0e9fb80022ccd239361,Swimwear,Black,Nabaiji Unisex Black Silicone Swimming Cap,single_930a683db73f,family_6d78b19a042a64f0,development,3
1583,data/raw/teacher/train/images_train/1583.jpg,0ace6e4dc9bdd62bfb72c7d5f331cca74b6510c191917a0255bf44dfeef0ef69,Swimwear,Black,Nabaiji Women Black Swimsuit,single_0ace6e4dc9bd,family_b09a9bc0f0bbb898,development,0
1584,data/raw/teacher/train/images_train/1584.jpg,ce5ea8eb171d53ca8999d9b02fc26175132b3e6c847f3763c929b89824e2844a,Jackets,White,Domyos Unisex Feather-light Jacket,single_ce5ea8eb171d,family_9ea3f4147c0d763c,development,3
1594,data/raw/teacher/train/images_train/1594.jpg,f706913e11564f85fea46f8fbec73f968d0dca286a7dd2a096bbebeced8dc6b2,Casual Shoes,Grey,Newfeel Unisex Grey Mesh Lightweight Shoe,single_f706913e1156,family_8698616a6419549c,development,2
1596,data/raw/teacher/train/images_train/1596.jpg,0268eb07e92debee24efc514956202a5c2caf1311e719d1fd33333032ab3494b,Water Bottle,Pink,Quechua Easy-to-Carry Pink Sipper,single_0268eb07e92d,family_a19fbf8bf0530ca4,development,0
1598,data/raw/teacher/train/images_train/1598.jpg,3e50b29b24ce7c301f3db4b0762220ff6c9ecbbbfd9b1f3896f06e4e7b86652e,Handbags,Blue,Geonaute Women Blue Outdoor Bag,single_3e50b29b24ce,family_191024c47d6c2b3c,development,2
1599,data/raw/teacher/train/images_train/1599.jpg,1fe02257505a932f8b1bee8c16af189c13005a36abd99722ebb150704f161a2f,Handbags,Green,Geonaute Women Green Outdoor Bag,single_1fe02257505a,family_8e57858ab42fef1e,development,4
1603,data/raw/teacher/train/images_train/1603.jpg,10ed996fc3377768e73300266d6f817b3c89178c62a4f9e30bf7bd57dca48a0c,Sweatshirts,Navy Blue,Reebok Men Hoops Athletic Navy Sweatshirt,single_10ed996fc337,family_bf0a60ee19adc795,development,0
1604,data/raw/teacher/train/images_train/1604.jpg,5682a34c29bc670df43a36e2a1345171ad7add08e04515f20433ec87b4e0ab29,Track Pants,Blue,Reebok Track Pants Women Blue,single_5682a34c29bc,family_361603c11612df16,development,4
1607,data/raw/teacher/train/images_train/1607.jpg,1bdf1f0110d8063bc3ce2abc208de0f0a9df507c13a7ae01b148c33829366881,Track Pants,Blue,Reebok Men trackpant- male Track Pants,single_1bdf1f0110d8,family_35fae39286f862cb,development,0
1609,data/raw/teacher/train/images_train/1609.jpg,37e2e5b68ec1f694ce0bb64094bddbd6d37dbbe6c90bbdae0ce34d9e88561ac0,Sweatshirts,Pink,Reebok Women Boat-Neck Wildberry Sweatshirt,single_37e2e5b68ec1,family_8cd6cb7e1601eb5d,development,3
1610,data/raw/teacher/train/images_train/1610.jpg,400d0bea67fd94c9650b00eef349d343489f3514a49792f4304d83c35b70448b,Jackets,Navy Blue,Reebok Navy Jacket,single_400d0bea67fd,family_31d8edb99534fd48,development,0
1611,data/raw/teacher/train/images_train/1611.jpg,413ff951584f895a81212357b8217ead931c17ba861292dec95a09d45813e711,Jackets,Black,Reebok Knit Rib Women Black Jacket,single_413ff951584f,family_68722dedde84631c,development,0
1612,data/raw/teacher/train/images_train/1612.jpg,e99af75d966dc98d83516d014926f11a2184a5ff8675b0022ea1fb67c73135f2,Tshirts,White,Reebok Orange & White Striped Polo T-shirt,single_e99af75d966d,family_76ced5b53829bb4c,development,0
1613,data/raw/teacher/train/images_train/1613.jpg,ee6fdaa01f7b8c6ff06f82f35020426e1f79903657adfb5d2792711a5a6b1f4c,Tshirts,White,Reebok Men White Polo Tshirt,single_ee6fdaa01f7b,family_96382608813353be,development,0
1614,data/raw/teacher/train/images_train/1614.jpg,45293d13d699c6332fb73ccd3a8823d52dd139f316f83c39974538c74a75c03f,Tshirts,White,Reebok T-shirt White Polo Tshirt,single_45293d13d699,family_583b08e38c98f435,development,0
1617,data/raw/teacher/train/images_train/1617.jpg,c6816d69cb535edf18b439bb286953048d9601e9686a61e78290d8c64cf8eceb,Tshirts,Red,Reebok Men Shoot T-Shirt Red,single_c6816d69cb53,family_67aa578ed1fd0fa4,development,4
1618,data/raw/teacher/train/images_train/1618.jpg,9b8b84ff84896e8807a362d5582f04e8476df1b6f93892b301461a2bfecee354,Sports Shoes,White,Reebok Men United Runner White,single_9b8b84ff8489,family_ae92bee5080ffa35,development,2
1625,data/raw/teacher/train/images_train/1625.jpg,a6a31718ed660e8f1dafe9853b3f3acd1b244aee85f15629900b84de37650bdb,Tshirts,Red,Domyos Men Quick Dry T-shirt,single_a6a31718ed66,family_2b8ae4541022864d,development,0
1626,data/raw/teacher/train/images_train/1626.jpg,6462de5aaaed2dae9af78a372351db5a6d12fad103a75e49369ed386935a15f6,Footballs,Blue,Kipsta F300 Football Size 5 Football,single_6462de5aaaed,family_22fc91dc876c50db,development,0
1627,data/raw/teacher/train/images_train/1627.jpg,a0b1107b9f96b4984a8294ce09f815274600aaeadb2417424d4e3f0381571e71,Footballs,White,Kipsta F300 Football,single_a0b1107b9f96,family_8ec5f9f249924040,development,3
1628,data/raw/teacher/train/images_train/1628.jpg,2965422c61095912bbd1f17119dc65c01a5960871589c480f9e4d8d7bbf2d39f,Basketballs,Brown,Kipsta Xtra Bounce Basketball,single_2965422c6109,family_e6c3b6f798b0e8d6,development,0
1635,data/raw/teacher/train/images_train/1635.jpg,78f8e36a0e31471bf907d579d256b86cd839ccc0ac65da545715175b16b2d142,Casual Shoes,Red,Newfeel Unisex Red Comfy Shoes,single_78f8e36a0e31,family_735e4a8aa7691b6d,development,2
1636,data/raw/teacher/train/images_train/1636.jpg,b5d5c2db2db72e3c325a1235f2146d5b07e27627129259c6ac03ffb357ccb0db,Sports Shoes,White,Nike Men Air Zoom Century Shoes,single_b5d5c2db2db7,family_245db7164aace830,development,4
1637,data/raw/teacher/train/images_train/1637.jpg,d561008ad9c7bb37e94779de9813079e248b71cbfdc9e94f88202e4e562a754a,Sports Shoes,White,Nike Men White Cricket Shoes,single_d561008ad9c7,family_274e64235a5fb959,development,2
1638,data/raw/teacher/train/images_train/1638.jpg,22866f8835216be1d55a212e86bb3e23203ee2afb043a5180a1039d8039b4c70,Swimwear,Blue,Nabaiji Swimming Goggles Blue Black,single_22866f883521,family_6df26dfff059f42a,development,4
1642,data/raw/teacher/train/images_train/1642.jpg,c67706552c561a09913b701a3b71b8a9e668bc01b3df518575eafb2ffc03ca75,Sports Shoes,White,Reebok Men Winning Stride White Red,single_c67706552c56,family_b5740f0e88bf42cd,development,2
1645,data/raw/teacher/train/images_train/1645.jpg,7157ad9681170ff6988e90469f177dd15b887b22970d5499e0cb3e6a4a4367d2,Tshirts,Black,Kipsta Men Loose Fit Round Neck Jersey Black,single_7157ad968117,family_7e5cb8429dce2394,development,0
1646,data/raw/teacher/train/images_train/1646.jpg,efcb022c71848bb6df6bd3b28ec708d3bd1c514fb236e1271644bd9580c2ea4c,Backpacks,Grey,Quechua Ultralight Backpack 16 Ltr Grey Bag,single_efcb022c7184,family_c4c9f099e7a471df,development,3
1647,data/raw/teacher/train/images_train/1647.jpg,d563322a4050786384fe687865389bbed4bc7ec20e77091df9137d3bfdab7313,Backpacks,Green,Quechua Unisex Ultralight 16 Ltr Green Backpack,single_d563322a4050,family_920232613e4a67a0,development,0
1648,data/raw/teacher/train/images_train/1648.jpg,03b834e4bffdafcd46581b1f1350a2a2b25b9eee6bcdf9935acbe4380c9c5a10,Backpacks,Pink,Quechua  Ultralight Backpack Purple 16 ltr Bag,single_03b834e4bffd,family_a16c0ab260e30b22,development,2
1651,data/raw/teacher/train/images_train/1651.jpg,66c7cf1fe17fe32dacae53d22d89a36ddf20a2e27bb3b120ba4043a4af525294,Tshirts,Pink,Domyos Women Style Pink T-shirt,single_66c7cf1fe17f,family_2b1545d9e4c56859,development,4
1653,data/raw/teacher/train/images_train/1653.jpg,6a9bc0bcd182984d786b012df4299c171c838998275a1bb81f080bead3585f01,Sports Shoes,Brown,Reebok Men's Ventilator Ubiq Shoe,single_6a9bc0bcd182,family_ef0d2e96b08cee59,development,3
1654,data/raw/teacher/train/images_train/1654.jpg,41fbe1a0467888454e64bebc5940ce41ad543acbaf04def35d9b6ad360265a98,Sports Shoes,White,Reebok Men's Frisker LP Shoe,single_41fbe1a04678,family_ddb3686e0d40ad1e,development,0
1658,data/raw/teacher/train/images_train/1658.jpg,224d41eb1ba727f9f3b9eb56716e9374f933049b30d9dc06be9efc48ab9d9db2,Jackets,Blue,Nike Men Windrunner Blue Jacket,single_224d41eb1ba7,family_b72b8ff4cac9641a,development,4
1668,data/raw/teacher/train/images_train/1668.jpg,427b8f1d40eb92e1ab03e79be2ca44a1a5082dcb317873d43842d198a842ea10,Tshirts,Red,Reebok Men Playdry Full Sleeved T-shirt Red,single_427b8f1d40eb,family_328c58f0f1726122,development,3
1670,data/raw/teacher/train/images_train/1670.jpg,c4d1d8b18dce6da2493297e88fde3c4b292fdbeb2f34c02cd0b8f48677b80ed3,Tshirts,Grey,Reebok Men Green Polo T-shirt,single_c4d1d8b18dce,family_f8646a257c0c4273,development,4
1671,data/raw/teacher/train/images_train/1671.jpg,4c9cbfcfa1dac59d570d8bd124dfd4602646d3a01b815f9aa2c6bb75d3533437,Tshirts,Black,Reebok Men Black Polo T-shirt,single_4c9cbfcfa1da,family_15d45f2509126484,development,4
1673,data/raw/teacher/train/images_train/1673.jpg,e66b9ea9a6b7e1c6c312353466a91de9b5db2145777d64d298ce8914ed1815b2,Tshirts,Black,Reebok Mens Lagoon Black T-shirt,single_e66b9ea9a6b7,family_5514a9f709310b22,development,2
1678,data/raw/teacher/train/images_train/1678.jpg,83d92435c76e7a352cb8b831fd65f759d1980d8a62cc226f0edeafcf7e2ce323,Tshirts,Green,Reebok Men Play Hard Cotton Green T-shirt,single_83d92435c76e,family_18bed1232c7d6375,development,0
1689,data/raw/teacher/train/images_train/1689.jpg,3dc9254935e22475b0f00269800030065e158028d8273276b0f5b457d19ec57e,Tshirts,Blue,Reebok Men Blue Polo T-shirt,single_3dc9254935e2,family_b419b676265c221e,development,3
1728,data/raw/teacher/train/images_train/1728.jpg,b369e5fdec07cc699b855d9601e61f0db4833385c0bc5d4f83761d9c63bb9628,Sports Shoes,Green,Newfeel Unisex Green Sports Shoes,single_b369e5fdec07,family_a0bd94956b9f42cd,development,2
1729,data/raw/teacher/train/images_train/1729.jpg,103277af2a18c1570561d3f5dc10e799fd59a3b9487b7a20d8611b24a91717b7,Casual Shoes,White,Newfeel Unisex White Shoes,single_103277af2a18,family_731b79bc42ca29f4,development,0
1730,data/raw/teacher/train/images_train/1730.jpg,a6bdade5d0a250f14b5dab91bc44364e4362cc19df9a4fd3008a3bc048d74d46,Sports Shoes,Black,Reebok Women Black Pink Frisker Shoe,single_a6bdade5d0a2,family_dab2e78c8b5b1d04,development,0
1752,data/raw/teacher/train/images_train/1752.jpg,a20b30aeec09bc0b7b207c907fe1cf3130c0192e05a00bf0696556337a45e02c,Tshirts,Red,Lotto Men Red Epic T-shirt,single_a20b30aeec09,family_fe4f4f270df95e1b,development,4
1755,data/raw/teacher/train/images_train/1755.jpg,6242e7dab7344099062f17e92368eb064062280362efe856caeae09fa7b3f177,Tshirts,Red,Lotto Men Jasper Street Red T-shirt,single_6242e7dab734,family_9ed1279b64427e29,development,2
1756,data/raw/teacher/train/images_train/1756.jpg,7006a5c82fff6cd8df11d18e9fe888b50292619335d7102efd39ba24d8daff9d,Tshirts,White,Lotto Men White Polo T-shirt,single_7006a5c82fff,family_6b05617279df95e0,development,0
1758,data/raw/teacher/train/images_train/1758.jpg,2a6e919e1d236870af4610bb1d455723b1d2ee7924d9d6b5e3dec7f58f1681e3,Jackets,White,Lotto Men White Collared Jacket,single_2a6e919e1d23,family_3404e567432e7e13,development,2
1759,data/raw/teacher/train/images_train/1759.jpg,9a02efffadf446360c1f29f601f789e86a6ef62045123769037e9b4be6da7efe,Tshirts,Grey,Lotto Men Epic Grey T-shirt,single_9a02efffadf4,family_314e9ad1bb068ed1,development,4
1762,data/raw/teacher/train/images_train/1762.jpg,e54b13e7150bd10a45f1f00f4fb7bdd724c86b7c479c79484239f73115dfec3c,Tshirts,Blue,Lotto Women Cathy Blue T-shirt,single_e54b13e7150b,family_a4fd40788cd53f2f,development,2
1763,data/raw/teacher/train/images_train/1763.jpg,abfc65c9d73fe5909c46cc5b7da97e99b42fe71a7f47f5bf049683e1ad77b7c4,Tshirts,Pink,Lotto Women Cathy Pink T-shirt,single_abfc65c9d73f,family_9a0d49266d4f5e24,development,2
1765,data/raw/teacher/train/images_train/1765.jpg,11f3627f530361e3c07055196054c8993bd72b3aa77986cdad999409a674e46b,Tshirts,White,Lotto Women White T-shirt,single_11f3627f5303,family_ac6a322dba52cae8,development,3
1766,data/raw/teacher/train/images_train/1766.jpg,3ed6fc14c66dcbbbd0df679ee9021786f62f7d397208d27b5a6d4ef312023521,Tshirts,Blue,Inesis Men Blue Polo T-shirt,single_3ed6fc14c66d,family_e50b6b02d6d90ddc,development,3
1784,data/raw/teacher/train/images_train/1784.jpg,8b04f254569ae00f74e53325ac33060e8a9454eeeda2a0ef4831dc54ffa041a3,Sports Shoes,White,Lotto Men's Melbourne White-Red Shoe,single_8b04f254569a,family_a142832c40dfb4b2,development,0
1785,data/raw/teacher/train/images_train/1785.jpg,234ebcfb542b555a314f75c845b44d6a4ff752eff58e01e346d2bf6888b7831f,Sports Shoes,White,Lotto Men Brighton White-Blue Shoe,single_234ebcfb542b,family_14a79e51478113c6,development,4
1786,data/raw/teacher/train/images_train/1786.jpg,78486f011d5e9dc201746b705f3c4217601300ea887ca00fdbe151ad033cf631,Sports Shoes,White,Lotto Men's Court Logo White Shoe,single_78486f011d5e,family_c1fcf0cd023db10f,development,4
1787,data/raw/teacher/train/images_train/1787.jpg,d362b340e46cf191ee39a823997de0197b784c4f1e5a5d0c54d0ec5501fd2bf1,Sports Shoes,White,Lotto Men Court Logo White-Silver Shoe,single_d362b340e46c,family_d6245609f9341aa8,development,0
1789,data/raw/teacher/train/images_train/1789.jpg,f35e506518141d6403d99af405700cd67042b0b531fb84f94eacd175babb47a5,Sports Shoes,Orange,Lotto Men OSLO Grey-Orange Shoe,single_f35e50651814,family_ced6f3c05e1dfefa,development,4
1791,data/raw/teacher/train/images_train/1791.jpg,ace5274787b4713850499eb4fd45bfd514ddc0fa20eff6a2b19e535a1fd09577,Backpacks,Black,Quechua 10L Black Bag,single_ace5274787b4,family_d62e1c294189ca3b,development,0
1792,data/raw/teacher/train/images_train/1792.jpg,dce653bf7ed210ed4ec26ec9c471575b71ca9191c0782f8ccb60a6f5a4a2b34a,Backpacks,Blue,Newfeel Marine Blue Bag,single_dce653bf7ed2,family_88831144c552348a,development,4
1794,data/raw/teacher/train/images_train/1794.jpg,576c807fa2233b8e1430baf82016f1c67ad8d262cf0e0a46ce136a1cd41ffd75,Backpacks,Brown,Newfeel Brown 22L Bag,single_576c807fa223,family_cca40327e9be88bd,development,3
1795,data/raw/teacher/train/images_train/1795.jpg,d8e686b3af1f809881d23e9fb15874d1d5c445a3c45551623f2d803fecf9b636,Backpacks,Black,Newfeel 22L Black Bag,single_d8e686b3af1f,family_cf1881df6f1696c2,development,4
1796,data/raw/teacher/train/images_train/1796.jpg,ef3b914f7c96f5c49be89b1ee93c581f30724fe25147c24f6a530bb9e2b26716,Tshirts,Blue,Domyos Men Performance Blue T-shirt,single_ef3b914f7c96,family_7c22d3cf6ebfa987,development,4
1799,data/raw/teacher/train/images_train/1799.jpg,4571e6c770cd78b868296fe82c86a541637113e286aacf8d6d31d6b24fc872c3,Track Pants,White,Domyos Men Blue & White Tracksuit,single_4571e6c770cd,family_63a4b69673ba7738,development,4
1800,data/raw/teacher/train/images_train/1800.jpg,b78a02bab93b856cb1e241550fddaa81634870aa2b41f27ca772579b07dc8659,Backpacks,Black,Quechua Unisex Black Solid Backpack,single_b78a02bab93b,family_e49ec846db7527df,development,2
1803,data/raw/teacher/train/images_train/1803.jpg,316af39d039b6c43233985b9338f762121e7160878de4a0318099cbc3e3cb230,Tshirts,Black,Tribord Unisex Black T-shirt,single_316af39d039b,family_ee0d6c299a70d209,development,2
1808,data/raw/teacher/train/images_train/1808.jpg,16e8b276a84d9ae9f9b43dde06d0f10c3c90b044ae08f930d5dc9a13d5de0834,Water Bottle,Purple,Quechua Aluminium Print Water Bottle,single_16e8b276a84d,family_0ee372d0a0fefa44,development,4
1810,data/raw/teacher/train/images_train/1810.jpg,670c899005a63096d188676ac63c9dd5eb8616271f834e9cdb0eb964459b7e9a,Tshirts,Red,Tribord Profilter Red Men T-shirt,single_670c899005a6,family_1a09807a0e6928a6,development,4
1813,data/raw/teacher/train/images_train/1813.jpg,c239e3707edea9c0571bf8050f46de2f399d880314629600491a4742c28e2d86,Tshirts,Blue,Solognac Men Dark Blue T-shirt,single_c239e3707ede,family_ce63ea0809ce3233,development,0
1814,data/raw/teacher/train/images_train/1814.jpg,e4f4d39b645b446abb6cc85bada1c070fcc5064b52b27a72aba445a124cd17f8,Tshirts,Brown,Solognac Men Chocolate Brown  T-shirt,single_e4f4d39b645b,family_2c674047a16dab9c,development,3
1828,data/raw/teacher/train/images_train/1828.jpg,5f35587a7026102712d6b0c2904cea3f44be53f81fd31e893a111a28d4a4795a,Sports Shoes,White,Nike Men's Air Afterburner Shoe,single_5f35587a7026,family_4f6ceab7942f9dec,development,3
1831,data/raw/teacher/train/images_train/1831.jpg,5ae1ad5b962bcca0828ad6ff58e0455bebe3817688f9c41380849ca4582e8c27,Sports Shoes,Black,Nike Men's Air Impetus Shoe,single_5ae1ad5b962b,family_1ba71fb680250d97,development,0
1832,data/raw/teacher/train/images_train/1832.jpg,c23952fa80a04869ff2abb10a56e6e04ddfe2fe341e2beef0c81b8f818fd5c34,Sports Shoes,Black,Nike Lunarswift Shoe,single_c23952fa80a0,family_e0687aaa8689e196,development,0
