scope,fold,method,descriptor_fingerprint,size,query_source,gallery_source,slice,query_variant,query_id,metric,value,rank,candidate_id,distance
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,rare_article_type,clean,12440,ndcg_at_10,0.00000000,3,29029,0.11858028
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,rare_article_type,clean,12440,ndcg_at_10,0.00000000,4,29033,0.11899626
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,rare_article_type,clean,12440,ndcg_at_10,0.00000000,5,36085,0.12149328
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,rare_type_colour,clean,1790,ndcg_at_10,0.00000000,1,7276,0.13590771
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,rare_type_colour,clean,1790,ndcg_at_10,0.00000000,2,3292,0.13914037
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,rare_type_colour,clean,1790,ndcg_at_10,0.00000000,3,7278,0.14398038
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,rare_type_colour,clean,1790,ndcg_at_10,0.00000000,4,19195,0.14571106
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,rare_type_colour,clean,1790,ndcg_at_10,0.00000000,5,6008,0.14686793
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,unusual_geometry,clean,25299,ndcg_at_10,0.11004588,1,25298,0.16129577
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,unusual_geometry,clean,25299,ndcg_at_10,0.11004588,2,37085,0.17313188
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,unusual_geometry,clean,25299,ndcg_at_10,0.11004588,3,46205,0.17646873
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,unusual_geometry,clean,25299,ndcg_at_10,0.11004588,4,43749,0.17786169
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,unusual_geometry,clean,25299,ndcg_at_10,0.11004588,5,20556,0.18091202
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,family_unavailable,clean,1529,recall_at_10,,1,1537,0.09731841
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,family_unavailable,clean,1529,recall_at_10,,2,1807,0.09812653
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,family_unavailable,clean,1529,recall_at_10,,3,2092,0.14111584
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,family_unavailable,clean,1529,recall_at_10,,4,1562,0.15572727
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,family_unavailable,clean,1529,recall_at_10,,5,2400,0.15875131
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,weak_family,clean,1623,recall_at_10,0.00000000,1,1656,0.20730042
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,weak_family,clean,1623,recall_at_10,0.00000000,2,10001,0.21483910
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,weak_family,clean,1623,recall_at_10,0.00000000,3,30160,0.23594993
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,weak_family,clean,1623,recall_at_10,0.00000000,4,39010,0.23771524
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,weak_family,clean,1623,recall_at_10,0.00000000,5,40943,0.23771524
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,canvas_failure,wide,7295,ndcg_change_from_clean,-1.00000000,1,48976,0.22778201
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,canvas_failure,wide,7295,ndcg_change_from_clean,-1.00000000,2,35123,0.24013603
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,canvas_failure,wide,7295,ndcg_change_from_clean,-1.00000000,3,48993,0.24477220
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,canvas_failure,wide,7295,ndcg_change_from_clean,-1.00000000,4,49010,0.24714172
development,1,hog-plus-spatial-hsv-edge-equal-v1,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240x320,v1,v1,canvas_failure,wide,7295,ndcg_change_from_clean,-1.00000000,5,48994,0.25505358
