gender,articleType,n,correct,recall,fold
Women,Lounge Shorts,4,4,1.0,4
Women,Lounge Tshirts,1,1,1.0,4
Women,Mobile Pouch,26,24,0.9230769230769231,4
Women,Mufflers,6,5,0.8333333333333334,4
Women,Nail Polish,13,13,1.0,4
Women,Necklace and Chains,42,42,1.0,4
Women,Night suits,35,35,1.0,4
Women,Nightdress,27,27,1.0,4
Women,Patiala,18,18,1.0,4
Women,Pendant,77,77,1.0,4
Women,Perfume and Body Mist,158,145,0.9177215189873418,4
Women,Ring,51,51,1.0,4
Women,Robe,2,2,1.0,4
Women,Salwar,18,18,1.0,4
Women,Salwar and Dupatta,5,5,1.0,4
Women,Sandals,3,3,1.0,4
Women,Sarees,104,104,1.0,4
Women,Scarves,39,39,1.0,4
Women,Shapewear,2,2,1.0,4
Women,Shirts,187,187,1.0,4
Women,Shorts,41,39,0.9512195121951219,4
Women,Shrug,2,2,1.0,4
Women,Skirts,64,64,1.0,4
Women,Socks,57,55,0.9649122807017544,4
Women,Sports Sandals,21,21,1.0,4
Women,Sports Shoes,268,251,0.9365671641791045,4
Women,Stockings,18,18,1.0,4
Women,Stoles,62,62,1.0,4
Women,Sunglasses,223,220,0.9865470852017937,4
Women,Sweaters,59,59,1.0,4
Women,Sweatshirts,40,40,1.0,4
Women,Swimwear,10,10,1.0,4
Women,Tablet Sleeve,1,1,1.0,4
Women,Ties and Cufflinks,1,1,1.0,4
Women,Tights,5,5,1.0,4
Women,Tops,940,935,0.9946808510638298,4
Women,Track Pants,55,53,0.9636363636363636,4
Women,Travel Accessory,2,2,1.0,4
Women,Trousers,60,60,1.0,4
Women,Tshirts,679,672,0.9896907216494846,4
Women,Tunics,118,118,1.0,4
Women,Umbrellas,3,3,1.0,4
Women,Waistcoat,4,4,1.0,4
Women,Wallets,271,265,0.977859778597786,4
Women,Watches,546,522,0.9560439560439561,4
