sheet,id,fold,label,prediction,article,family,sha256
girls_false_positives,40160,0,Boys,Girls,Jeans,family_983ecc355974a0d5,16b8281310d70652ae1ca2b856fb46ad618602e23d567bcb26d895d6ccc3b24c
girls_false_positives,8933,4,Unisex,Girls,Wristbands,family_1628e107773c273d,e9cc75beaa3f0f55d82ee5c246307b32d2da5f0ba9788599403bb2dcbdf6882a
girls_false_positives,27219,4,Women,Girls,Dresses,family_3c1a2d285f2e067c,6aa404facafd09d72607999cf0bf3d11e10ab0fa36a92f23bac1eb2f183ad480
girls_false_positives,27214,0,Men,Girls,Shorts,family_68ab50c1cdd0e2a5,e619a10af27c004fa4a90f817cdba97f585e523a50fd168aa759111cca92336d
boys_misses,14284,0,Boys,Men,Casual Shoes,family_3845075ee50bf284,a6aafef8614cd122cc82a99be379cb0c79f422f8004952baa8a7de2cc202a6c7
boys_misses,12995,0,Boys,Men,Casual Shoes,family_1a8ca8c7b9e16ae3,58c5fa36f8703befb39065c2f62af31d14e17c2dc14dcb8e0c1b89c11c5e84f3
boys_misses,37343,0,Boys,Men,Tshirts,family_a756fae96165fb24,1c467e00f920b1eaaa9882f526e13a8540ca9abdab6f46b82660f28973eb2d04
boys_misses,36200,4,Boys,Women,Jackets,family_81d19492c1ed6270,fd8e49251f698bd3abf773a2e869aa6ba829d12aa7a779bbceab84cb1132d52d
boys_misses,39758,0,Boys,Men,Shorts,family_cef8287a38380c4e,58212231479b02e1ba22d78801ce8e8b09c480364cc829dc94aca07c8af38bef
boys_misses,37538,0,Boys,Women,Booties,family_1f8eaef9257c6e73,26c36b31f7ab17a8116527c3ad463e8f95a836fe400f32b0aa9a22c02f5ae5e0
boys_misses,46963,0,Boys,Unisex,Flip Flops,family_c04d97c0a90b6ec5,9b27261a568c1ffef87d6662a203a9ad898a7d237ed37b104252e863e86fa43d
boys_misses,31161,4,Boys,Men,Blazers,family_7de8419ec9d1653e,1c048d032066f97f660ed84606ce60c319d1970f9c5ebe29ac69cae9aac5d8fe
boys_misses,47111,4,Boys,Men,Sandals,family_cf33bf6094c02aed,6e70627a8ecc7675abd783e96d3cdd9503e4ca49f0bbfb3710e9891a7ae77802
boys_misses,29177,4,Boys,Men,Shorts,family_c040a4523ace9008,301409766ea39c3f1aefb81eeeb2810a37eb345566e9a5adac2b71cc89e7e77d
boys_misses,42595,0,Boys,Men,Jeans,family_bafcae35dc442eba,79dfa653beefd6f735ea619d79e7c4a9453d824e53c6245cb95e2792cf712946
boys_misses,40160,0,Boys,Girls,Jeans,family_983ecc355974a0d5,16b8281310d70652ae1ca2b856fb46ad618602e23d567bcb26d895d6ccc3b24c
boys_false_positives,3598,4,Unisex,Boys,Tshirts,family_a2de21b4327dde0e,75471463572ee3cd215716696069f13106a7f6f2ef2ccf4492bca96928a29e44
boys_false_positives,37565,4,Girls,Boys,Innerwear Vests,family_a5fd0d76d5251346,0ca1d443b870e540e1b9c4c4d0a89b5d79fc052efb4127328d26abfbef09c595
boys_false_positives,37613,0,Girls,Boys,Tshirts,family_da97c1fe0b030363,792e15b1f54f5545d00ba3ac096ddc143cb03528e0053eedab9bd2334f77f890
boys_false_positives,40301,4,Unisex,Boys,Sandals,family_4e585c9941f5e809,31c4b0a051c709f4c8b7d1a76b17cf4736cc913a579544b660052f13792675df
boys_false_positives,38501,4,Girls,Boys,Jeans,family_8aa003f947b2d095,5b9b23b50d00d6ff69c37813a30d19690a7577bbd0e9fbcfd441a0b06e7b19e1
boys_false_positives,10673,4,Women,Boys,Tops,family_132e7aecc12e9d01,ee1ae0c450d68525e7dc8ec5a23025a8192c52c7f554f42522b690912b29b4e3
boys_false_positives,30596,0,Men,Boys,Shorts,family_fab113ff4eda4e94,bb7b50e9a23246172fb33ca6933cc5f16b7152536e6661adb2306297ad276cc5
boys_false_positives,46835,0,Girls,Boys,Capris,family_0a2da82492dcb9b3,581ca8e47edc144a30fb0184b255e84729e0b2e1c891bdaf0cd6c1a7f2bbaafe
unisex_misses,6125,4,Unisex,Men,Backpacks,family_24a63ec7c93bdbb5,829e7fcd4ba0f57b387a50cda4437a5bb131ea390f4b3a234615ce2abb2e1aa8
unisex_misses,33767,0,Unisex,Men,Casual Shoes,family_658434210ec41426,6dbda2455fcfef01eb0dbb4e444a2fd221ac494846a3e0c9ec1e9e8bdeab79da
unisex_misses,32950,4,Unisex,Men,Casual Shoes,family_85c077a442fd4469,04e454e0c367464faa7b42262076b892c973f97cd2cc04e307b7e4d5ad08eb4c
unisex_misses,46307,4,Unisex,Men,Belts,family_c22b50ec5dfc7410,27ffd1192fe7a6d6ba4ca7d4f4621ecd0af2c38665ce426ca9d015838168cc0c
unisex_misses,23900,0,Unisex,Men,Sandals,family_0c075f71af4483f3,2daed962bad4d4beebc59c7b4ec7d7b9e26da2306b5fe6fe101cc82f6e8b6cdd
unisex_misses,9571,4,Unisex,Women,Handbags,family_833657e26b12fde3,daa4f46db197f9001fde8cfb1bcd02a6d6ba2c2760350fa096dc2441310460f5
unisex_misses,35420,4,Unisex,Women,Sports Shoes,family_21d98036a016c04e,4e656790340a3bb4ef890754e26c177a983dc156c7ab668cbd17a0514140a38b
unisex_misses,10114,0,Unisex,Men,Sports Sandals,family_d211334f1aed999b,8291355ec2076dcf6bd1670f73f9e2c6fd35eb936f176f9899db32c8c27c12a9
unisex_misses,44444,0,Unisex,Women,Flip Flops,family_e11d8cb94b54e0a2,ee760452a060a62904c984728986800ef4c90f9c79d287ab8f4852eee1dae63c
unisex_misses,12452,4,Unisex,Women,Shoe Accessories,family_cfec66a95bc7994f,9e8cce756dd51962671310e2888f402c5b40437e0083f402329b9efbe0ac3e5f
unisex_misses,30204,4,Unisex,Women,Handbags,family_ed940c8b5bbca0c2,b2aa9b7391ca7927ae2575f06ecf372cdd06cbe43e4935271350103aabe15966
unisex_misses,38199,0,Unisex,Men,Sunglasses,family_46a2556396f418d3,e3a74adec040dbd4acb3979b4dd7dce2a37703ab4cc310592dc4d4d705c27afe
unisex_false_positives,20938,0,Men,Unisex,Backpacks,family_2489af1698bc2f32,6d564eaeaa7f176bd05e25a3e694d0d5b17891f5ec0c43ad982795269f4b0cf9
unisex_false_positives,29072,4,Men,Unisex,Backpacks,family_f4f128d7da451760,942c29cede9767d95c9a288d592b77ae70105180c701a7e29e6b0d1241147cbc
unisex_false_positives,9817,4,Men,Unisex,Casual Shoes,family_5edd6fe9fd8d4373,c6b76dd631a6218cdc227bb0ad32010afc1d2bacd179303526d93775bc1eff75
unisex_false_positives,46963,0,Boys,Unisex,Flip Flops,family_c04d97c0a90b6ec5,9b27261a568c1ffef87d6662a203a9ad898a7d237ed37b104252e863e86fa43d
unisex_false_positives,8672,4,Men,Unisex,Sunglasses,family_6058ce19ef73825a,a26a36c5d98fa5b86fdcc289fb68229750d96c7152171983c4434aa8358a8bac
unisex_false_positives,40744,4,Women,Unisex,Caps,family_0023b52885696de2,185ec8d0cb8362bab56b8d6b5c81b9a5fe511761dd3ded520c5a96aa1b76fab6
unisex_false_positives,4318,4,Men,Unisex,Tshirts,family_b711ed9bc1eae835,8c3462c2c207b16f3d87d049593c599beb3f0c4b0e47e7a352d914a1a7402dec
unisex_false_positives,30696,0,Women,Unisex,Clutches,family_77386fc191c6d126,0e735029de2921caa437ceee82cc11c9a2fc46c768ee3c6c9cbdae8cb737ef9b
unisex_correct_controls,33228,0,Unisex,Unisex,Laptop Bag,family_f30cd1aa7cea03b8,feb2b87f471fc0f1c39445fe34afa3b92bed609e9978286f60c994820c23a23a
unisex_correct_controls,21198,0,Unisex,Unisex,Duffel Bag,family_8b769c5e8af9cbb0,2aac68742c87e37113d7927bd56396f9fe27e224eb897e6555bece0e218b77ad
unisex_correct_controls,7074,4,Unisex,Unisex,Backpacks,family_d8548ee669baebf9,ead5f6d8731b6314201dfd60ff6ea117170990613ffd04ceda8b106df3dcfa32
unisex_correct_controls,7119,4,Unisex,Unisex,Backpacks,family_4b65b5dc33dab930,910ed76f4d7606168e519a9f1824a5555d4fb0c784abe047ac780308d47069ba
unisex_correct_controls,22678,4,Unisex,Unisex,Messenger Bag,family_e6c7df7de477b234,d82e4f5da8e0d2369588c38a35505ab29a032cf4e9abb972989c6cda83ab97c0
unisex_correct_controls,25861,0,Unisex,Unisex,Laptop Bag,family_b669a3b7b362feaf,98a69a068fa80a5c1d52fe35c9b6f62117e89c98aaa2476accb2f56c46c4c27a
unisex_correct_controls,22646,0,Unisex,Unisex,Duffel Bag,family_dec8f3b3bfebe49c,bdcd69ba656b50ede1d7cca0c67e4ffc6840f29f72e22b60d4c305028e3abf4c
unisex_correct_controls,15868,0,Unisex,Unisex,Sandals,family_02365ceac7d471a9,7ad1b13f31c997e866de6176cd506feba46be035e051821ba4b69ba1f0949bcf
unisex_correct_controls,20865,4,Unisex,Unisex,Sandals,family_ff886c5f43998eb5,b8563ec394a745737160d1796cc71f447c984cb1ae643d4c08eeb2b09e3f1954
unisex_correct_controls,10765,4,Unisex,Unisex,Flip Flops,family_ce8c49b1d1b1ec44,97d22ea6418206d4a450fc2a35f97aeb427ac5fe24f0bc76d188a601722792f5
unisex_correct_controls,15898,0,Unisex,Unisex,Casual Shoes,family_2bc696575758c200,2d7bfd8d5472b678dfd284a7099ce4c0da325b617b8ee343a89048d319787853
unisex_correct_controls,36083,4,Unisex,Unisex,Caps,family_2e2bee242ef87f2b,9e6ad36ba442233cf9de62a609f0b60ddeab8ceb78ddaca774ba441f38e35d86
name_label_conflicts,17811,0,Men,Boys,Tshirts,family_f51b30b4cdb59e5a,c0fe279ee6dfd246a712d4e2002e2fa75f2d780992b71de6b8f54f4f3b258ee0
name_label_conflicts,17796,0,Men,Boys,Tshirts,family_4b36c56a1a588b01,9f10b8c22affa7171a640f2a06c71b10fcd00b36706caadb2ef066cde6cd2268
name_label_conflicts,27211,4,Men,Boys,Shirts,family_a9a83b624d2c19cd,a6c3b289070f8407384e4dd788c1036b4550c1208a280316142c555eb9a2e87b
name_label_conflicts,27205,0,Men,Boys,Shorts,family_20e5c95ed7447d58,4ba34e586ca3c43bd7f22c2fb76108d3e1e76bea4b4538ec11c9fee174e47177
name_label_conflicts,5022,4,Men,Boys,Shirts,family_6eef362598bc0d76,dacd449c536e2386d9503325cade1abd11902533cd6ee6ee3a1b10760fb8c1a3
name_label_conflicts,13242,4,Men,Boys,Shorts,family_9915b6085622bfb9,5c4ea015f987834fb5bd00995a2c1113a53e4e0136d7eae63a28f4189e4aed2a
name_label_conflicts,5009,4,Women,Girls,Tops,family_fb5fa8f93a7d3f42,f2570d18e34015584b8a42e8deed64801607167632b7962cdedb90daed3b1c77
name_label_conflicts,4920,0,Women,Girls,Tops,family_7cb3c8de64d6b6b4,8fbb63f53cc8450a36d8c3cb939118f151a505e6ada3f8c92ead4dc9a9b89907
name_label_conflicts,17616,4,Women,Girls,Tshirts,family_5727fa1d0cb394af,f484711f9b7429768587fadd7f8f2fd0dcf679c1edf60b8f9cbc3df9031fff9f
name_label_conflicts,4930,4,Women,Girls,Skirts,family_afb36973671a3f3a,7ce8f5b0247b18d1771d4a9c0a137f9ead70c0ffef89cae3ba6aa2723ee6b0e7
name_label_conflicts,27219,4,Women,Girls,Dresses,family_3c1a2d285f2e067c,6aa404facafd09d72607999cf0bf3d11e10ab0fa36a92f23bac1eb2f183ad480
name_label_conflicts,17803,0,Women,Girls,Tshirts,family_e8aa434fe73b58d2,a4fc9db3ba095263b1ddbd31db0013acb8f5dc33ceb0e2534dc6e06646dff846
