id,cv_fold,product_family_group,usage,articleType,path
3876,3,family_af864b0a4f77d494,Casual,Tshirts,data/raw/teacher/train/images_train/3876.jpg
3907,2,family_96e85c9fe31daf26,Casual,Track Pants,data/raw/teacher/train/images_train/3907.jpg
3944,2,family_63d5537f693522a8,Casual,Tshirts,data/raw/teacher/train/images_train/3944.jpg
4008,3,family_1c8a1600842cc2a0,Sports,Basketballs,data/raw/teacher/train/images_train/4008.jpg
4031,1,family_2559813bc6529f69,Casual,Tshirts,data/raw/teacher/train/images_train/4031.jpg
4043,3,family_672947e34836142f,Sports,Sports Shoes,data/raw/teacher/train/images_train/4043.jpg
4049,2,family_9fc7ef2c7100149c,Sports,Sports Shoes,data/raw/teacher/train/images_train/4049.jpg
4097,1,family_95807b29ae7ff1c0,Sports,Tshirts,data/raw/teacher/train/images_train/4097.jpg
4101,1,family_354948ef61d10149,Sports,Sports Sandals,data/raw/teacher/train/images_train/4101.jpg
4103,1,family_0f9c6877b9e900ca,Casual,Sandals,data/raw/teacher/train/images_train/4103.jpg
4150,1,family_84bdcd156603935b,Sports,Sports Shoes,data/raw/teacher/train/images_train/4150.jpg
4156,1,family_2a31dee3cd372662,Sports,Sports Shoes,data/raw/teacher/train/images_train/4156.jpg
4179,1,family_5f9e5489871b8a64,Formal,Formal Shoes,data/raw/teacher/train/images_train/4179.jpg
4180,2,family_3b96b9d2dc7cd7d3,Smart Casual,Formal Shoes,data/raw/teacher/train/images_train/4180.jpg
4181,3,family_9faccbe3b88a40c4,Smart Casual,Formal Shoes,data/raw/teacher/train/images_train/4181.jpg
4206,3,family_2d9ca3096035d24a,Casual,Tshirts,data/raw/teacher/train/images_train/4206.jpg
4232,1,family_7f424708103a507c,Casual,Tshirts,data/raw/teacher/train/images_train/4232.jpg
4266,3,family_173deaaf2f52bf79,Sports,Sports Shoes,data/raw/teacher/train/images_train/4266.jpg
4279,3,family_b45048bf83d0e17f,Formal,Formal Shoes,data/raw/teacher/train/images_train/4279.jpg
4283,3,family_13138993ff1ce9cb,Formal,Formal Shoes,data/raw/teacher/train/images_train/4283.jpg
4388,2,family_e753559bf52404ed,Casual,Tshirts,data/raw/teacher/train/images_train/4388.jpg
4454,1,family_4fef435542047269,Casual,Casual Shoes,data/raw/teacher/train/images_train/4454.jpg
4461,3,family_fe36bba93dc4e44b,Sports,Jackets,data/raw/teacher/train/images_train/4461.jpg
4492,1,family_cb850da6bf12d5c4,Sports,Sports Shoes,data/raw/teacher/train/images_train/4492.jpg
4500,1,family_c746ee2edf45fa00,Sports,Sports Shoes,data/raw/teacher/train/images_train/4500.jpg
4513,3,family_34ac9f308cb2e1f6,Sports,Sports Shoes,data/raw/teacher/train/images_train/4513.jpg
4551,1,family_c196451df88696ab,Sports,Sports Shoes,data/raw/teacher/train/images_train/4551.jpg
4552,2,family_65cd1264927aa198,Sports,Sports Shoes,data/raw/teacher/train/images_train/4552.jpg
4556,2,family_d3812f5f273c85c6,Sports,Sports Shoes,data/raw/teacher/train/images_train/4556.jpg
4559,1,family_d68e83f92ed9cc20,Sports,Sports Shoes,data/raw/teacher/train/images_train/4559.jpg
4566,1,family_0454a8d72f0fda82,Sports,Sports Shoes,data/raw/teacher/train/images_train/4566.jpg
4568,2,family_7d91b762b534b3e2,Sports,Sports Shoes,data/raw/teacher/train/images_train/4568.jpg
4569,1,family_0b592c692713048f,Sports,Sports Shoes,data/raw/teacher/train/images_train/4569.jpg
4588,2,family_02ef15e2d08ad8c3,Casual,Backpacks,data/raw/teacher/train/images_train/4588.jpg
4601,3,family_1c0a41630b5cac33,Travel,Rucksacks,data/raw/teacher/train/images_train/4601.jpg
4602,1,family_f18c99b3daa260d7,Travel,Backpacks,data/raw/teacher/train/images_train/4602.jpg
4639,1,family_fd7d77de225b3254,Sports,Sports Shoes,data/raw/teacher/train/images_train/4639.jpg
4644,2,family_fcc687ca8d076689,Sports,Sports Shoes,data/raw/teacher/train/images_train/4644.jpg
4646,2,family_2725d2bcfac13cc0,Casual,Sports Sandals,data/raw/teacher/train/images_train/4646.jpg
4657,3,family_9f2b69296b69933a,Sports,Sports Shoes,data/raw/teacher/train/images_train/4657.jpg
4668,1,family_28aba8137d93763f,Sports,Backpacks,data/raw/teacher/train/images_train/4668.jpg
4671,1,family_997719bc7307a990,Sports,Backpacks,data/raw/teacher/train/images_train/4671.jpg
4673,2,family_a32a2b5b8ff5119a,Sports,Backpacks,data/raw/teacher/train/images_train/4673.jpg
4678,1,family_d845f041e1ad38ef,Sports,Backpacks,data/raw/teacher/train/images_train/4678.jpg
4689,3,family_20fa0bcc74ce3b21,Sports,Backpacks,data/raw/teacher/train/images_train/4689.jpg
4691,2,family_eaa7de80f155ad3c,Sports,Watches,data/raw/teacher/train/images_train/4691.jpg
4698,3,family_6230c4cfda01a5dc,Sports,Watches,data/raw/teacher/train/images_train/4698.jpg
4716,3,family_b4bc4cd30fd6f4d1,Sports,Watches,data/raw/teacher/train/images_train/4716.jpg
4751,1,family_bca06ec2f99bc26e,Sports,Tshirts,data/raw/teacher/train/images_train/4751.jpg
4767,2,family_36ac58bc96ad6e60,Sports,Tshirts,data/raw/teacher/train/images_train/4767.jpg
4774,2,family_e5b82b15c2c265c2,Sports,Track Pants,data/raw/teacher/train/images_train/4774.jpg
4781,2,family_d265908f76c0179e,Sports,Tshirts,data/raw/teacher/train/images_train/4781.jpg
4783,1,family_67deb854909b0e04,Sports,Tshirts,data/raw/teacher/train/images_train/4783.jpg
4796,1,family_ae46bd6ed6ba612b,Sports,Shorts,data/raw/teacher/train/images_train/4796.jpg
4805,2,family_b3e34e9fe5a79d4e,Sports,Tshirts,data/raw/teacher/train/images_train/4805.jpg
4806,3,family_ec447ac59d239b8c,Sports,Tshirts,data/raw/teacher/train/images_train/4806.jpg
4811,1,family_459ef54b95078ec1,Sports,Tshirts,data/raw/teacher/train/images_train/4811.jpg
4832,1,family_df9d46565657e21f,Sports,Track Pants,data/raw/teacher/train/images_train/4832.jpg
4835,1,family_56dc6c2bd0f7cd6b,Sports,Track Pants,data/raw/teacher/train/images_train/4835.jpg
4851,1,family_5588ef6ef806acb1,Sports,Track Pants,data/raw/teacher/train/images_train/4851.jpg
4861,1,family_21a84ad988ff6ec4,Sports,Tshirts,data/raw/teacher/train/images_train/4861.jpg
4862,1,family_d35c4fccb34675f9,Sports,Tshirts,data/raw/teacher/train/images_train/4862.jpg
4868,2,family_a0a9572cd10cca7f,Casual,Tshirts,data/raw/teacher/train/images_train/4868.jpg
4994,1,family_35b6af913d688028,Sports,Sports Shoes,data/raw/teacher/train/images_train/4994.jpg
5194,3,family_0a0b723dc39e4a96,Casual,Tshirts,data/raw/teacher/train/images_train/5194.jpg
5198,1,family_9b33321408c0602e,Casual,Tshirts,data/raw/teacher/train/images_train/5198.jpg
5224,1,family_c08d12b1da2796e8,Casual,Messenger Bag,data/raw/teacher/train/images_train/5224.jpg
5229,2,family_1a9953ed2d6b8973,Casual,Backpacks,data/raw/teacher/train/images_train/5229.jpg
5243,2,family_e206dd002a594e55,Sports,Sports Shoes,data/raw/teacher/train/images_train/5243.jpg
5257,2,family_53677d2d33ed62c2,Casual,Backpacks,data/raw/teacher/train/images_train/5257.jpg
5258,3,family_0e5cf35a8fa68753,Casual,Backpacks,data/raw/teacher/train/images_train/5258.jpg
5314,2,family_1e0b605fa2f516ae,Casual,Backpacks,data/raw/teacher/train/images_train/5314.jpg
5319,3,family_4657bf5fc7bfc8f0,Sports,Sports Shoes,data/raw/teacher/train/images_train/5319.jpg
5356,3,family_4c3046c31405a2de,Sports,Sports Shoes,data/raw/teacher/train/images_train/5356.jpg
5362,1,family_38bfb45a86fe3291,Sports,Sports Shoes,data/raw/teacher/train/images_train/5362.jpg
5364,3,family_b346a1b3ea918897,Sports,Sports Shoes,data/raw/teacher/train/images_train/5364.jpg
5372,2,family_0aa87b8bdb3232d7,Sports,Sports Shoes,data/raw/teacher/train/images_train/5372.jpg
5374,2,family_1b8f39475cb531e8,Sports,Sports Shoes,data/raw/teacher/train/images_train/5374.jpg
5375,2,family_ef1956ff4324600b,Sports,Sports Shoes,data/raw/teacher/train/images_train/5375.jpg
5377,3,family_aa4109a073057cef,Sports,Sports Shoes,data/raw/teacher/train/images_train/5377.jpg
5387,1,family_429df0dc020155e7,Sports,Sports Shoes,data/raw/teacher/train/images_train/5387.jpg
5451,2,family_43a70ba6b21894cd,Sports,Shorts,data/raw/teacher/train/images_train/5451.jpg
5457,2,family_56a5ec9c037f2945,Sports,Track Pants,data/raw/teacher/train/images_train/5457.jpg
5566,1,family_be41b7f1fa56ba2b,Casual,Dresses,data/raw/teacher/train/images_train/5566.jpg
5571,2,family_6ac49669e238276d,Sports,Sports Shoes,data/raw/teacher/train/images_train/5571.jpg
5576,2,family_a398152fa8e559b0,Sports,Sports Shoes,data/raw/teacher/train/images_train/5576.jpg
5578,3,family_18d84c13d3ca78ea,Sports,Sports Shoes,data/raw/teacher/train/images_train/5578.jpg
5583,3,family_8c6dfac15afa6dca,Sports,Sports Shoes,data/raw/teacher/train/images_train/5583.jpg
5599,3,family_a3f0fbc167fd1096,Sports,Sandals,data/raw/teacher/train/images_train/5599.jpg
5725,3,family_9cd990a7894fcb3a,Sports,Sports Shoes,data/raw/teacher/train/images_train/5725.jpg
5735,2,family_2c8956be0d58b5e7,Sports,Sports Shoes,data/raw/teacher/train/images_train/5735.jpg
5737,2,family_8506ef9d3ccb38bc,Sports,Sports Shoes,data/raw/teacher/train/images_train/5737.jpg
5740,3,family_24a720766ce095f1,Casual,Tshirts,data/raw/teacher/train/images_train/5740.jpg
5744,2,family_dae81895ba463473,Sports,Sports Shoes,data/raw/teacher/train/images_train/5744.jpg
5755,3,family_d885bca1f73f287e,Casual,Tops,data/raw/teacher/train/images_train/5755.jpg
5823,1,family_93a91475cca49cf5,Casual,Tshirts,data/raw/teacher/train/images_train/5823.jpg
5828,2,family_d7d145410c61e49f,Sports,Tshirts,data/raw/teacher/train/images_train/5828.jpg
5836,3,family_7bffd6c03696e17b,Casual,Tshirts,data/raw/teacher/train/images_train/5836.jpg
5899,3,family_14d50a4ddc86ebe3,Casual,Casual Shoes,data/raw/teacher/train/images_train/5899.jpg
5906,1,family_ecdd7308565e93e4,Casual,Casual Shoes,data/raw/teacher/train/images_train/5906.jpg
5930,1,family_faede57cfab74b18,Casual,Casual Shoes,data/raw/teacher/train/images_train/5930.jpg
5988,2,family_a49e54e5732c1d43,Casual,Shirts,data/raw/teacher/train/images_train/5988.jpg
5995,2,family_acb3c9307d7b58b6,Casual,Shirts,data/raw/teacher/train/images_train/5995.jpg
6007,1,family_26479677d11644f9,Casual,Shirts,data/raw/teacher/train/images_train/6007.jpg
6127,3,family_4391f8f1f45d20f3,Sports,Sports Shoes,data/raw/teacher/train/images_train/6127.jpg
6150,3,family_00476816e43cf2ef,Sports,Sports Shoes,data/raw/teacher/train/images_train/6150.jpg
6352,1,family_59c19c9775a66ea2,Casual,Sandals,data/raw/teacher/train/images_train/6352.jpg
6507,2,family_6c2240d234a0d849,Formal,Formal Shoes,data/raw/teacher/train/images_train/6507.jpg
6521,1,family_ee763a42d50fbbe9,Sports,Shorts,data/raw/teacher/train/images_train/6521.jpg
6524,1,family_9807fe182f3dc625,Sports,Shorts,data/raw/teacher/train/images_train/6524.jpg
6542,1,family_c7ad43af1258979d,Sports,Tshirts,data/raw/teacher/train/images_train/6542.jpg
6551,1,family_f462d26aa077aadb,Sports,Tshirts,data/raw/teacher/train/images_train/6551.jpg
6564,1,family_122961871d9f94be,Sports,Shorts,data/raw/teacher/train/images_train/6564.jpg
6600,2,family_1ff474b06c92dfea,Casual,Tshirts,data/raw/teacher/train/images_train/6600.jpg
6626,1,family_420cb7cc928da8d5,Sports,Sports Shoes,data/raw/teacher/train/images_train/6626.jpg
6649,2,family_be67fb66b3bea87e,Sports,Sports Shoes,data/raw/teacher/train/images_train/6649.jpg
6650,2,family_9699b743abfca576,Sports,Sports Shoes,data/raw/teacher/train/images_train/6650.jpg
6653,2,family_758977412c116fb9,Casual,Casual Shoes,data/raw/teacher/train/images_train/6653.jpg
6656,1,family_0fd688a63532750b,Sports,Sports Shoes,data/raw/teacher/train/images_train/6656.jpg
6715,2,family_479886b5a5401ed4,Casual,Tshirts,data/raw/teacher/train/images_train/6715.jpg
6721,3,family_ce0f260d26064118,Casual,Tshirts,data/raw/teacher/train/images_train/6721.jpg
6740,2,family_2a0107774dd2becf,Sports,Sports Shoes,data/raw/teacher/train/images_train/6740.jpg
6744,2,family_f5d2825fffa0e81e,Sports,Sports Shoes,data/raw/teacher/train/images_train/6744.jpg
6789,2,family_499bc7df9d8873c1,Casual,Shirts,data/raw/teacher/train/images_train/6789.jpg
6835,1,family_1caca1f2422580ca,NA,Shoe Accessories,data/raw/teacher/train/images_train/6835.jpg
6836,3,family_6da57e02084e6145,NA,Shoe Accessories,data/raw/teacher/train/images_train/6836.jpg
6837,3,family_463ffc4d4be10831,NA,Shoe Accessories,data/raw/teacher/train/images_train/6837.jpg
6838,1,family_37bb3ec91d1e7458,NA,Shoe Accessories,data/raw/teacher/train/images_train/6838.jpg
6848,2,family_2dc366499884c061,Sports,Sports Shoes,data/raw/teacher/train/images_train/6848.jpg
6855,3,family_fd0d5cf8daff925c,Sports,Sports Shoes,data/raw/teacher/train/images_train/6855.jpg
6913,2,family_26b0aaae6eedc3c6,Casual,Sandals,data/raw/teacher/train/images_train/6913.jpg
6915,1,family_dc345d015a47a211,Sports,Tshirts,data/raw/teacher/train/images_train/6915.jpg
6948,1,family_137ff590f6f44fab,Casual,Tshirts,data/raw/teacher/train/images_train/6948.jpg
6971,1,family_5f7635b6a1c0307f,Casual,Tshirts,data/raw/teacher/train/images_train/6971.jpg
7023,3,family_66c3230e5b7d13fe,Casual,Tshirts,data/raw/teacher/train/images_train/7023.jpg
7065,2,family_13324c96f0cb8550,Sports,Backpacks,data/raw/teacher/train/images_train/7065.jpg
7066,1,family_079415c05a4e0bef,Sports,Backpacks,data/raw/teacher/train/images_train/7066.jpg
7091,1,family_5e1febd65aa22808,Casual,Backpacks,data/raw/teacher/train/images_train/7091.jpg
7113,1,family_e02be5962e51741e,Travel,Rucksacks,data/raw/teacher/train/images_train/7113.jpg
7130,1,family_5bf77ae1f2bf7ff2,Casual,Tshirts,data/raw/teacher/train/images_train/7130.jpg
7139,2,family_f1690b016b2ce31b,Casual,Shirts,data/raw/teacher/train/images_train/7139.jpg
7216,2,family_2cc06d8b10636615,Formal,Formal Shoes,data/raw/teacher/train/images_train/7216.jpg
7217,1,family_5b10ca07ace1e66a,Formal,Formal Shoes,data/raw/teacher/train/images_train/7217.jpg
7220,2,family_ee28deeee58fc612,Formal,Formal Shoes,data/raw/teacher/train/images_train/7220.jpg
7221,1,family_c8ace20a55c88e4d,Formal,Formal Shoes,data/raw/teacher/train/images_train/7221.jpg
7226,2,family_ccc0c17a6e734fce,Formal,Formal Shoes,data/raw/teacher/train/images_train/7226.jpg
7227,2,family_7a866153fcd1a9ed,Formal,Formal Shoes,data/raw/teacher/train/images_train/7227.jpg
7235,1,family_c789a815d8bba2a3,Formal,Formal Shoes,data/raw/teacher/train/images_train/7235.jpg
7242,2,family_7599dc4548df4500,Formal,Formal Shoes,data/raw/teacher/train/images_train/7242.jpg
7243,2,family_e06f88267f246de6,Formal,Formal Shoes,data/raw/teacher/train/images_train/7243.jpg
7247,2,family_41bdad81f82b77b8,Formal,Formal Shoes,data/raw/teacher/train/images_train/7247.jpg
7254,1,family_647711bd268ce883,Formal,Formal Shoes,data/raw/teacher/train/images_train/7254.jpg
7269,1,family_94f6f1248ee5d1bd,Casual,Tshirts,data/raw/teacher/train/images_train/7269.jpg
7271,3,family_db52b9f28db37f73,Casual,Tshirts,data/raw/teacher/train/images_train/7271.jpg
7304,3,family_fef1d7bcfa6f264f,Casual,Tops,data/raw/teacher/train/images_train/7304.jpg
7331,1,family_f789909693b38986,Formal,Formal Shoes,data/raw/teacher/train/images_train/7331.jpg
7347,1,family_664fdaa31cf65482,Casual,Tshirts,data/raw/teacher/train/images_train/7347.jpg
7363,3,family_b1337e70bf4d06c7,Formal,Formal Shoes,data/raw/teacher/train/images_train/7363.jpg
7383,2,family_b8ba5925257ad206,Formal,Formal Shoes,data/raw/teacher/train/images_train/7383.jpg
7389,2,family_2a7185fd600ecd7b,Formal,Formal Shoes,data/raw/teacher/train/images_train/7389.jpg
7390,2,family_4ed6bd23c5514935,Formal,Formal Shoes,data/raw/teacher/train/images_train/7390.jpg
7417,2,family_7d4a25031f5a1514,Ethnic,Kurtas,data/raw/teacher/train/images_train/7417.jpg
7418,1,family_c39cb2c540b601f1,Ethnic,Kurtas,data/raw/teacher/train/images_train/7418.jpg
7421,1,family_4567f6e4059f4e6d,Ethnic,Kurtas,data/raw/teacher/train/images_train/7421.jpg
7459,1,family_ec88fb611271dde4,Casual,Tshirts,data/raw/teacher/train/images_train/7459.jpg
7499,2,family_4427dc2e32a1d099,Sports,Tshirts,data/raw/teacher/train/images_train/7499.jpg
7508,3,family_ead595aca2c88523,Sports,Tshirts,data/raw/teacher/train/images_train/7508.jpg
7512,3,family_1992a7b5f8d06c70,Sports,Tshirts,data/raw/teacher/train/images_train/7512.jpg
7517,1,family_5ce5209e0015f0bf,Sports,Tshirts,data/raw/teacher/train/images_train/7517.jpg
7528,2,family_3c3ccbacd3a07a48,Sports,Tshirts,data/raw/teacher/train/images_train/7528.jpg
7530,1,family_5fb1f2daaedc5908,Sports,Tshirts,data/raw/teacher/train/images_train/7530.jpg
7550,1,family_03fd186b374bfe3e,Sports,Tshirts,data/raw/teacher/train/images_train/7550.jpg
7563,2,family_69769ab78b2e30ed,Sports,Tshirts,data/raw/teacher/train/images_train/7563.jpg
7576,3,family_1cd4f57251bdb116,Sports,Sports Shoes,data/raw/teacher/train/images_train/7576.jpg
